Gene_Symbol	log2FC	p-value
GIMAP5	2.837927	0.001128
HAP1	2.836993	0.022486
SERPINA7	2.835542	0.001919
LOC609247	2.833026	0.007096
PIK3CD	2.832018	0.03332
LOC490132	2.811849	7.06E-05
VDR	2.808372	0.003762
ELAVL2	2.80819	0.030246
MT4	2.799434	0.019631
LOC611400	2.797608	5.37E-04
MLSTD1	2.797404	7.82E-04
ZFP106	2.797055	0.01961
LECT1	2.793397	0.0027
IL1B	2.789838	0.004425
SLC6A1	2.789807	0.006077
PLCB4	2.789122	0.009605
ADAMTS20	2.786866	0.008266
IL1F8	2.775373	0.009605
PHLPPL	2.773455	0.004425
EMR1	2.768195	0.029295
SLC22A5	2.765317	0.014855
KRT5	2.759415	0.004425
C5AR1	2.752614	5.37E-04
NFE2	2.74601	0.007096
MYH8	2.732943	0.048341
LRRC50	2.720262	0.011134
BCL2A1	2.713989	2.46E-04
LOC611583	2.711077	0.012876
SH3GL1	2.708087	0.019631
GRIA4	2.704383	0.012876
NCF1	2.703219	0.029295
ANKRD37	2.702801	0.025696
UBA7	2.69864	0.003191
BAMBI	2.69258	0.019631
LOC608177	2.690471	0.029295
ATP6V0D2	2.689392	0.003762
LOC476029	2.685431	0.006077
TCHH	2.684852	0.025696
CYBB	2.683086	3.65E-04
RND1	2.682872	0.017097
ENTPD7	2.681467	0.022486
CRYAA	2.679671	0.012876
SRGN	2.677694	0.001128
NLRP1	2.675998	0.014855
LOC480602	2.675832	2.01E-04
TXNDC6	2.675653	0.002279
GNMT	2.671933	0.001919
KRT81	2.664996	0.048341
LOC489923	2.661527	0.025696
CPB2	2.655367	0.042802
KLF7	2.652323	0.007096
SLAIN1	2.648137	0.022486
SLC26A6	2.647482	0.006077
LOC485416	2.645621	0.005192
CYBB	2.636605	6.49E-04
ICA1L	2.635931	0.007096
MATK	2.631147	2.46E-04
LOC607396	2.630849	0.029295
ABCC11	2.625858	0.003762
DSG4	2.624067	0.037809
CD48	2.623863	3.00E-04
LOC479330	2.617889	0.022486
TRPM3	2.616915	0.048341
PLN	2.614689	0.003762
MMP7	2.609453	0.003762
CCK	2.606751	0.037809
NFAM1	2.60414	0.017097
PMM2	2.603938	0.03332
CLDND2	2.60357	0.017097
PBLD	2.595576	0.025696
CDC42BPA	2.591944	0.008266
CENTB2	2.591627	0.029268
AOH3	2.590195	0.029295
ITGB2	2.581238	3.65E-04
SYNE1	2.579213	0.029295
CCDC19	2.574901	0.029295
HYOU1	2.566785	7.06E-05
FABP9	2.566172	0.014855
G6PD	2.56459	0.003191
SLC12A8	2.56097	0.042802
MEF2A	2.558457	0.008266
SKAP1	2.554059	0.025696
HMGCLL1	2.551966	0.006077
LOC480336	2.551412	0.006077
GBP1	2.549108	0.001128
ST6GALNAC1	2.547072	0.048341
TBX1	2.542849	0.002279
EMR3	2.537395	0.029295
LILRB3	2.537211	0.004425
PHEX	2.535026	0.025696
DLA-79	2.534695	0.002279
SMYD1	2.533443	0.019631
KRT35	2.528855	0.037809
CA4	2.525812	0.008266
ALPL	2.523742	0.037809
SLC5A1	2.521823	0.029295
LOC479934	2.521661	0.048341
LOC609334	2.520068	2.01E-04
LOC477355	2.512846	0.017634
CD8A	2.512575	0.019631
LOC474634	2.509526	0.012876
AKAP11	2.508044	0.03332
TMEFF1	2.507669	0.001128
LOC448801	2.507486	0.001611
D2HGDH	2.507097	0.007096
FCGR1A	2.500711	0.001611
TTN	2.496891	0.012876
DDX60	2.493882	0.0027
TMEM159	2.493669	0.014855
NRG1	2.492605	0.001611
LOC486528	2.490751	0.03332
DTNA	2.490624	0.03332
GNMT	2.490045	9.41E-04
FGG	2.488324	0.037776
LOC484882	2.488204	0.008266
ACOXL	2.487812	0.025696
CCL19	2.484345	0.008266
LGI1	2.480615	0.048341
ZNF677	2.477554	0.002279
WWC1	2.47083	0.011134
LOC479290	2.469315	0.037809
LOC478102	2.461773	0.014855
UIMC1	2.460244	0.04266
CYBB	2.459579	1.08E-04
KCNE1	2.457836	0.017097
DHRS2	2.452909	0.009605
GBP1	2.451969	0.00135
ASCL1	2.44922	0.042802
cOR2T13	2.445229	0.037809
IL18BP	2.444094	1.64E-04
LOC607855	2.442034	0.042802
PI16	2.440274	0.025696
ASB5	2.44013	0.042802
EML5	2.436231	0.022486
LOC484866	2.432729	0.006077
TTC18	2.429237	0.022486
HSPB3	2.426299	0.042802
ARMC4	2.425809	3.65E-04
LAT2	2.425721	3.65E-04
LOC490595	2.425486	0.035985
SULT1E1	2.424591	0.003191
LOC478335	2.416108	0.007096
LOC485143	2.41603	0.049555
AQP2	2.413748	9.41E-04
FPGS	2.412495	0.004425
LOC475367	2.407027	0.001128
TFEC	2.406856	5.37E-04
SNCA	2.406209	0.002279
PHYH	2.399688	0.001611
OTOR	2.397661	0.008266
EFNA5	2.392486	0.017097
TYROBP	2.392484	1.33E-04
FADS1	2.392457	0.012876
TMEM16A	2.390742	0.003191
NTRK3	2.390359	0.048341
ARHGEF12	2.390058	0.048341
LOC480601	2.388347	1.64E-04
ATG4B	2.38572	0.019631
OASL	2.384896	0.0027
ATP6V0D2	2.384574	1.64E-04
IBSP	2.38169	0.006077
HSD17B13	2.381357	0.029295
KLK4	2.380233	0.005192
PLA2G4D	2.378529	0.029295
BLVRB	2.373572	0.005192
ADSSL1	2.372448	0.017097
SIRPB2	2.371594	0.004425
TRPM1	2.371136	0.022486
MYO1F	2.369664	7.82E-04
LOC612375	2.367441	0.009605
LOC480336	2.366612	0.003762
LOC490060	2.363516	0.0027
LPCAT1	2.362327	0.002279
STK39	2.361809	0.042802
CCDC88B	2.358795	0.005192
MYOC	2.357774	9.41E-04
VMO1	2.354619	0.009605
ABCC11	2.351544	0.006077
LGALS4	2.350318	0.03332
LOC608996	2.348496	0.014855
NXPH1	2.348128	0.00135
SKAP2	2.347704	0.037809
LOC612129	2.346133	2.01E-04
ECEL1	2.344454	0.048341
DLA-DQB1	2.343972	0.001611
HYOU1	2.341102	3.00E-04
MYOCD	2.339549	0.025696
LMOD3	2.33365	0.048341
GRID1	2.331963	0.037809
NMB	2.329744	0.03332
SLCO1C1	2.329627	0.022486
MAN1A1	2.329586	6.49E-04
LOC607091	2.326926	0.006077
SRGN	2.324638	3.00E-04
TNIP3	2.324413	0.008266
NCF4	2.321741	0.012876
VTN	2.321572	0.011134
FCGR3A	2.317438	1.64E-04
VWA2	2.316191	0.029295
LOC479772	2.315786	0.037809
MATN4	2.315074	0.001611
FLT4	2.313969	0.003762
DLA-64	2.313035	1.33E-04
WDR78	2.313003	0.012876
LOC482225	2.312881	0.029295
SMAD6	2.312011	0.0027
DNAJC3	2.310941	0.045463
LY9	2.310901	4.43E-04
SPATA22	2.308571	0.024852
MORN3	2.307933	0.008266
DES	2.306846	0.017097
ARHGEF4	2.30623	0.001919
LOC610597	2.298384	0.007096
ISG15	2.298202	0.007096
LOC480351	2.29701	0.03329
MYPN	2.295835	0.001611
FCRLA	2.295539	0.005192
LCP1	2.294125	1.33E-04
CASP14	2.29283	0.022486
LOC479329	2.287936	2.46E-04
LOC607366	2.287822	0.017097
TAPBP	2.287609	0.022486
MYPN	2.287417	0.005192
OAS1	2.28708	0.004425
LOC481715	2.282889	0.048341
SERPINA3	2.282635	0.029295
RNF180	2.279402	0.011134
WASF3	2.278529	0.017097
LY96	2.278436	4.43E-04
LOC475790	2.278419	0.03332
BPI	2.274847	7.06E-05
LOC474642	2.273041	0.009605
MNDA	2.270643	0.004425
FBN2	2.270068	0.005192
NPR3	2.264405	0.019631
FBN2	2.261075	4.43E-04
TSNARE1	2.26079	0.042802
GBP1	2.260162	0.002279
ME2	2.259963	0.042802
MX1	2.25982	0.004425
LOC448801	2.259051	5.37E-04
LOC492026	2.25803	0.03332
LOC479458	2.257697	3.00E-04
STEAP4	2.256685	9.41E-04
LOC610669	2.254656	0.037809
LCP1	2.254433	3.65E-04
LOC478994	2.252656	0.022486
SLFNL1	2.251878	0.0027
FSIP1	2.251456	0.025696
KLB	2.249235	0.014855
LCP2	2.248326	7.82E-04
RGS12	2.247481	0.017097
MXRA8	2.24693	0.006077
LOC490959	2.242887	0.001611
DCT	2.24223	0.007096
PPM1K	2.241938	0.014855
TMEM132E	2.241499	0.011134
LOC487760	2.240349	0.012876
NLRP3	2.235433	0.03332
PPP1R1A	2.23445	0.042802
ABCC11	2.233475	0.007096
LOC475383	2.232494	0.012876
ACR	2.232322	0.022486
LOC480882	2.230778	0.022486
LOC611894	2.230049	0.003191
NRXN1	2.229863	0.029268
NOTUM	2.227513	0.019631
LOC482428	2.224283	0.014855
ALDH3A2	2.223361	0.011134
LOC490524	2.221266	0.019631
TMEM178	2.218081	0.003762
LOC484914	2.217392	0.009605
LOC486528	2.21656	0.048341
EDN3	2.215561	2.01E-04
IYD	2.215288	0.005192
PRKDC	2.214993	0.048341
CPO	2.214335	0.042802
LOC609478	2.214223	0.03332
ESPN	2.214221	0.011134
HMGCLL1	2.213435	0.022486
LOC490554	2.212417	0.048341
CNTNAP5	2.21176	0.017097
LOC484264	2.211342	0.025696
FSIP1	2.210943	0.003191
OLR1	2.209151	0.037809
TRPM1	2.208339	0.005192
MMP13	2.205288	0.012876
MOV10	2.196641	0.011134
EMR1	2.195941	3.65E-04
CXCL10	2.194908	0.022486
AGR2	2.194344	0.037809
FGF14	2.194163	0.011134
LOC611359	2.193578	0.004425
HOXC12	2.193357	0.048341
PRMT8	2.192896	0.006077
LGALS4	2.192672	0.037809
LOC607055	2.191804	0.014855
BCAT1	2.191701	4.43E-04
LOC489394	2.191511	0.019631
COL7A1	2.190764	0.03332
LRRN1	2.187957	4.43E-04
LMOD3	2.18767	0.006077
ZIC3	2.187116	0.009605
FCER1A	2.187053	0.005192
SYK	2.186631	6.49E-04
SCUBE3	2.185615	0.001611
MDGA2	2.185238	0.042802
MFAP4	2.18464	0.009605
LOC612065	2.181925	0.004425
LOC485435	2.178852	0.003762
JAK3	2.177645	0.003191
FBXL13	2.175451	0.002279
AOAH	2.175155	7.82E-04
BVES	2.175007	0.007096
LCP2	2.174862	0.006077
MX2	2.173565	3.65E-04
CAPZA3	2.172391	0.048341
SSTR2	2.17182	0.00135
CARD11	2.171725	0.025696
CLEC4M	2.169463	0.005192
GALR1	2.168088	0.048341
CPA3	2.162772	1.08E-04
LOC490132	2.162169	0.008266
GUCY1A2	2.160881	0.009605
TNFAIP6	2.160555	0.037809
IFI44	2.160475	0.00135
TULP3	2.160119	0.001919
ZNF643	2.159294	0.048341
BPI	2.158792	2.01E-04
EHF	2.158337	0.006077
POLR2A	2.158328	0.008266
LOC609874	2.158243	4.43E-04
FURIN	2.156472	0.014855
GRIN3A	2.156466	0.017097
SESN3	2.154394	0.029295
ARMC6	2.154087	0.002279
CCL8	2.152592	0.001919
RB1	2.152293	0.007096
LOC612293	2.151898	2.46E-04
GCH1	2.15174	0.014855
DOCK2	2.150327	0.019631
LY86	2.14861	0.002279
IFI44	2.147925	0.0027
PTPRC	2.147878	0.001128
MYCN	2.147162	0.003762
LOC612795	2.146694	0.048341
HGD	2.145966	0.014855
DLA-DQA1	2.145073	0.004425
KLHL30	2.138573	0.042802
SPP2	2.137616	0.00135
NCKAP1L	2.136462	0.005192
KRT27	2.136374	0.014855
PTGDS	2.133133	2.01E-04
BFSP2	2.127958	0.017097
HPX	2.124512	0.029295
FEZ1	2.122922	0.004425
IFNGR2	2.122752	0.008266
RTP4	2.122646	0.029295
SAA	2.121721	0.001919
MMP9	2.120155	0.019631
FCGR3A	2.117042	3.00E-04
CA4	2.115719	0.002279
LOC480601	2.115307	8.74E-05
LOC606828	2.112252	0.019631
MMP9	2.108423	0.037809
RTF1	2.107994	0.03332
PLAGL2	2.107675	0.037809
ZNF79	2.105201	0.014855
MRAS	2.10348	0.03332
ZNF516	2.101985	0.009605
CTSS	2.101653	5.37E-04
PPP1R1B	2.101099	0.048341
LOC475157	2.100897	0.03332
KLHL1	2.099798	0.008266
LOC483398	2.09585	0.004425
VCAN	2.095801	5.37E-04
LOC480785	2.094386	0.037809
XDH	2.09347	1.08E-04
LOC481663	2.093253	0.004425
CD48	2.092749	4.43E-04
DAPL1	2.092453	0.037809
FCER1G	2.08984	0.004425
SPI1	2.089325	0.003762
LOC479329	2.088584	0.00135
LYZ	2.088331	0.003191
ARSE	2.087216	0.03332
LOC480692	2.087044	0.011134
RTKN2	2.086385	0.003762
LAMB1	2.085405	0.029295
LOC612065	2.084845	1.33E-04
SNAP25	2.084177	0.019631
GK	2.08284	0.001128
RSPO3	2.080797	0.017097
LOC611190	2.080775	0.006077
DPYS	2.080019	0.029295
LY9	2.078005	0.001611
SLC11A1	2.077935	8.74E-05
LOC479934	2.077287	0.029295
CACNG3	2.077223	0.007096
GLIPR1	2.077177	1.64E-04
LOC475367	2.075125	0.012876
CCK	2.073955	0.011134
LOC487808	2.073941	0.017097
LOC609989	2.073575	0.029295
ZNF658	2.073396	0.011134
C3	2.072511	0.011134
SLC17A8	2.072222	3.65E-04
XDH	2.07193	0.001611
LOC476059	2.071602	0.03332
MST1R	2.069328	0.011134
TCHP	2.067774	0.019631
SLFN14	2.06649	0.042802
PTN	2.062449	0.003191
NQO1	2.062107	0.019631
LOC491203	2.061157	0.008266
ANKK1	2.060281	0.025696
SPINK4	2.059736	0.019631
DST	2.05949	0.048341
ABCB1	2.059338	0.012876
TMEM132B	2.058642	0.037809
LMO3	2.057946	0.009605
CADM1	2.055805	0.008266
PTPRC	2.055732	8.74E-05
CPA5	2.055468	0.011134
COL11A2	2.0551	0.017097
REN	2.052247	0.017097
GIMAP8	2.046885	0.004425
PSMB8	2.0462	7.82E-04
PDX1	2.04606	0.048341
LOC609311	2.046012	0.017097
NLRP9	2.044893	0.012876
LOC490554	2.041666	0.029295
LOC606794	2.038652	0.029295
IL1F10	2.037772	5.37E-04
IL1RAPL1	2.037736	0.048341
NCKAP1L	2.037614	0.019631
MFAP4	2.036937	0.009605
LRMP	2.035139	0.029295
LY86	2.035116	0.00135
JRK	2.03486	0.012876
GK	2.034014	3.00E-04
SGCA	2.033901	0.011134
PLA2G4E	2.033479	0.002279
LOC479458	2.033069	3.00E-04
PLA2G2E	2.029175	0.017097
LOC608003	2.028726	0.014855
KMO	2.026475	0.007096
PLAUR	2.026363	0.012876
MYOM1	2.026318	0.002279
TBC1D8B	2.026313	0.005998
SLC16A14	2.02573	0.001919
SMAD3	2.024914	0.03332
PRND	2.024641	0.004425
LOC610304	2.024024	0.017097
ASPA	2.022156	0.001128
COL10A1	2.021842	0.043784
SYNE1	2.020606	0.048341
SLC36A2	2.017954	5.37E-04
PTHR1	2.017885	0.012876
OAS2	2.017842	3.00E-04
ABCG4	2.016825	0.025696
LOC489001	2.015355	0.008266
ANGPTL4	2.014385	9.41E-04
OSMR	2.012828	2.46E-04
LHX2	2.01271	0.00135
SLC5A8	2.012362	0.03332
TCEA2	2.008721	0.001919
FCER1A	2.008091	0.004425
PITPNC1	2.008029	0.048341
LOC478182	2.00799	0.008266
SEZ6	2.006911	0.011134
LOC485096	2.006853	0.001128
SLC27A6	2.005748	0.011134
LRRC6	2.004755	2.46E-04
SLC27A5	2.004505	0.042802
LOC479340	2.004334	6.49E-04
SLC13A1	2.003148	0.017097
IL12RB2	2.00309	0.03332
LENG8	2.002321	0.006077
TRIM22	2.002258	0.008266
LCP1	2.001792	0.001611
SLC11A1	2.001783	3.65E-04
TSSK3	2.001388	0.012876
LOC474811	2.000711	0.042802
