Gene_Symbol	log2FC	p-value
KCNK10	2.727993	1.15E-20
CST2	2.726973	1.73E-05
TNC	2.720093	3.20E-42
TRAV12_2	2.718418	1.16E-05
ICOS	2.713661	2.29E-21
HAS3	2.697398	1.37E-30
GDA	2.684115	1.57E-09
PRSS27	2.680694	7.30E-45
XLOC_003378	2.680094	2.35E-29
ATP12A	2.67924	1.22E-12
HMGA2	2.678274	3.80E-08
PLAT	2.677946	1.46E-19
RP11_150O12.2	2.672926	2.48E-05
G34162	2.646698	2.95E-22
RHOT1P1	2.644496	5.41E-07
ITGAX	2.6368	1.78E-34
CLLU1OS	2.634056	2.60E-06
XLOC_008299	2.63022	0.001309
TMPRSS11D	2.629638	6.69E-17
MTNR1B	2.627987	8.29E-06
IL13RA2	2.626918	6.42E-12
TMEM105	2.626038	4.40E-16
MDFI	2.616913	3.80E-46
DRAIC	2.607251	1.78E-11
BATF3	2.604678	8.40E-17
CPA6	2.602961	0.000169
CCL4	2.592798	6.26E-07
RTP4	2.590467	2.56E-31
XLOC_013541	2.588549	9.80E-11
XLOC_013542	2.587859	6.68E-07
RP11_380J14.1	2.58471	8.71E-08
FUT3	2.579621	8.06E-27
UGT1A7	2.563735	6.83E-39
EBI3	2.560233	1.34E-09
RN7SL862P	2.555777	2.38E-08
RP11_184M15.1	2.554144	9.26E-08
CCL22	2.54606	2.14E-33
SPINK6	2.545663	2.87E-05
XLOC_011520	2.544565	6.37E-06
IGFL4	2.544523	3.88E-32
RP5_1097P24.1	2.538438	1.15E-10
CCL3	2.528318	1.43E-05
ACKR2	2.521764	4.09E-27
OAS2	2.519022	2.20E-11
RP11_275I4.2	2.507725	8.74E-08
RP11_1070A24.2	2.504453	1.43E-06
RP11_288L9.4	2.496638	1.06E-05
CD8BP	2.494667	1.10E-09
TRBV6_5	2.492473	0.000127
LCN2	2.490653	2.31E-16
SLAMF1	2.487752	3.88E-21
DRGX	2.482201	5.62E-14
TNFRSF21	2.480782	2.39E-47
AIM2	2.480367	1.12E-17
FER1L6	2.48012	1.48E-06
PITX1	2.473067	4.51E-22
APOBEC3B	2.470787	4.56E-25
TRAV21	2.470483	4.93E-05
TRAV23DV6	2.465408	0.000143
RP11_806H10.4	2.465089	3.69E-06
PCAT29	2.464932	1.84E-07
CCR7	2.459942	3.40E-28
ANGPTL4	2.456114	1.36E-24
XLOC_012841	2.455161	2.58E-14
CLEC4C	2.454024	1.27E-07
NR4A1	2.451433	8.38E-13
AC010731.2	2.44559	1.71E-05
SELE	2.441561	9.54E-27
RP11_557H15.3	2.435233	8.65E-21
S100A2	2.429524	2.89E-32
C17orf96	2.428897	2.17E-34
GPR149	2.418338	3.14E-08
TNFRSF12A	2.413789	9.19E-25
TRBV29_1	2.407531	7.62E-08
S100P	2.401344	8.71E-17
G16052	2.399047	0.001368
AC006372.5	2.394114	7.06E-06
CXCR2P1	2.383951	1.34E-09
XLOC_007955	2.381127	7.05E-09
AC108142.1	2.376468	2.91E-06
ELF5	2.362748	2.84E-15
RNASE13	2.360368	7.83E-09
SOX2	2.356765	4.98E-22
RP11_706C16.7	2.34188	1.20E-13
CLEC10A	2.331927	4.81E-24
TRBV3_1	2.331668	0.000292
NEK4P1	2.329186	0.000216
CCL2	2.324453	1.40E-23
TRAV17	2.323508	1.54E-05
AC011648.1	2.321754	1.09E-07
RP1_71H24.1	2.321517	7.55E-05
TMC1	2.31805	1.40E-08
LTA	2.314165	1.59E-08
KRT6B	2.313058	2.74E-10
CTB_114C7.4	2.310358	0.018938
RP11_818F20.5	2.308988	1.92E-10
SPIB	2.308865	3.60E-10
RNU6_1161P	2.308444	0.001
TNFRSF4	2.307847	1.64E-11
AC007163.3	2.306077	2.19E-05
SH2D2A	2.305329	5.08E-21
RNU5F_1	2.304658	6.97E-13
SAMSN1	2.304117	4.89E-25
RGS1	2.304032	2.83E-20
G43605	2.299859	0.012491
HABP2	2.299079	0.000386
AP001610.5	2.298858	2.49E-08
LRG1	2.297522	3.12E-15
LINC01010	2.295396	1.96E-31
SLCO5A1	2.295341	4.43E-15
AGKP1	2.292783	0.019299
LYPD1	2.288493	2.71E-06
CD274	2.288302	2.65E-31
TTC24	2.286668	0.005654
AP000695.4	2.285611	3.36E-05
HTR7	2.281767	1.16E-14
ELF3	2.269475	2.17E-33
ADAM8	2.266792	7.54E-33
PGF	2.26626	3.08E-31
RP11_563N6.6	2.260066	4.87E-05
G34082	2.257317	1.87E-08
SPATA3_AS1	2.257	0.001072
JAKMIP1	2.253383	2.17E-07
CHST1	2.24726	6.71E-17
IL24	2.246518	2.11E-09
CCR4	2.239176	1.97E-17
G4024	2.236691	1.21E-06
KLK6	2.233248	3.97E-08
PTP4A3	2.233066	1.79E-26
AC022182.2	2.232994	1.13E-06
DNASE1L3	2.230229	1.69E-49
BIRC3	2.227674	1.22E-29
APOL1	2.223425	3.82E-26
IL36G	2.205022	9.27E-30
AC106801.1	2.199443	5.84E-10
RP4_784A16.2	2.198671	4.07E-05
CTSC	2.196598	9.16E-46
TXNDC8	2.193751	7.49E-05
EPSTI1	2.19368	1.18E-17
CCL19	2.193609	7.15E-17
PLA2G2A	2.192095	1.38E-07
AC092580.4	2.189502	3.01E-08
IL10	2.188722	2.87E-10
GNLY	2.184908	2.69E-15
TIFAB	2.176441	4.46E-16
COL4A4	2.171797	2.29E-29
G11279	2.170778	5.08E-08
AF064858.6	2.168211	2.00E-12
TRAJ9	2.164654	5.34E-05
TRAV38_2DV8	2.161035	0.004771
TRAV13_1	2.159123	5.71E-05
RP5_1028K7.2	2.157944	3.75E-08
MX1	2.155752	4.59E-13
KCNK13	2.154672	1.71E-13
G26809	2.151246	1.01E-06
CTC_518B2.8	2.150838	1.07E-19
TRBV27	2.148404	0.000226
AC002331.1	2.148386	0.000185
CTA_392E5.1	2.147153	0.000308
HRNR	2.145338	9.10E-12
CXCR1	2.144071	1.04E-13
AC133644.2	2.137502	2.96E-07
TRBV19	2.131307	2.86E-05
CST7	2.130666	5.87E-23
IFI44	2.129618	2.71E-12
HBEGF	2.127788	8.57E-16
INA	2.126905	2.55E-29
JAK3	2.125041	9.86E-31
PDCD1	2.124709	6.93E-10
TRGV7	2.124477	0.0002
FAM159A	2.122002	0.000221
CHRNA9	2.120499	1.27E-12
LINC00589	2.120148	0.002257
P2RY6	2.118302	1.77E-12
RP11_24F11.2	2.115492	0.000124
COL22A1	2.115373	4.70E-07
CD28	2.1147	4.25E-17
RP11_875O11.3	2.111506	0.003673
UNC5A	2.110234	1.36E-07
CD226	2.106078	1.27E-21
RP11_677N16.1	2.105682	0.00015
CTA_363E6.6	2.105343	2.30E-06
IFI6	2.104912	5.54E-09
RP11_114B7.6	2.101236	9.61E-05
WDR66	2.098343	6.44E-20
ADCYAP1	2.094409	0.000695
OLR1	2.091887	0.000477
OGDHL	2.08659	3.33E-05
AC105049.1	2.083993	4.02E-09
G36656	2.076571	0.018384
CTD_2555C10.3	2.075365	4.05E-13
TRIM48	2.075081	0.029493
WDFY4	2.072007	1.09E-27
AC017002.1	2.06992	6.69E-05
UPP1	2.064578	2.35E-30
CXCR4	2.059336	4.39E-20
IFNG	2.057597	0.001394
RP11_616M22.7	2.057259	3.17E-06
SIRPG	2.056804	5.99E-08
TRAV29DV5	2.05527	0.000384
GALNT6	2.054909	2.54E-40
AREGB	2.051273	0.021275
ADAM23	2.0485	3.33E-21
XLOC_004197	2.046416	7.58E-10
RNU6ATAC9P	2.04405	7.95E-05
XLOC_013095	2.043131	0.000379
PGAM1P7	2.042655	1.31E-06
TRAV12_3	2.038292	0.000153
ITK	2.032957	1.56E-22
LURAP1L	2.032646	2.60E-36
LA16c_325D7.1	2.029329	0.00013
DKK4	2.025689	1.60E-06
RP4_598P13.1	2.024984	1.72E-05
LINC01527	2.021136	8.10E-11
RP11_339N8.1	2.019864	0.000827
LINC01251	2.016234	4.81E-05
MMP9	2.015909	4.50E-16
TRAV14DV4	2.010957	0.003392
CTD_3064M3.7	2.007925	0.000115
G12854	2.00731	7.25E-10
FCMR	2.006768	2.38E-16
SPOCK2	2.006531	2.69E-25
PGLYRP2	2.003638	5.79E-10
FBN2	2.003455	4.30E-10
CARM1P1	2.002419	0.001729
XLOC_011471	2.000029	4.06E-07
CYP2W1	-2.00108	1.64E-18
CES1	-2.00275	3.87E-19
LINC01224	-2.00419	1.21E-11
RP11_1008C21.1	-2.0053	2.69E-23
G30952	-2.00621	4.57E-13
RP11_145E17.3	-2.00893	0.000333
XLOC_000974	-2.00935	7.55E-06
C15orf59_AS1	-2.01011	4.17E-05
ZNF534	-2.01144	0.000297
MGARP	-2.01312	0.000183
CHRM2	-2.01369	2.25E-05
RP11_616M22.3	-2.01679	0.001468
KRT43P	-2.01859	2.45E-05
ZNF890P	-2.01948	0.001926
RP11_115H18.1	-2.02508	0.000564
CLDN23	-2.02567	1.56E-25
RP4_733B9.1	-2.03802	0.000109
RP11_800A3.3	-2.04195	0.000333
ABCB11	-2.04597	5.74E-24
ZNF676	-2.05188	4.62E-10
XLOC_005041	-2.05438	1.21E-09
XLOC_003364	-2.05572	8.00E-06
SERPINB11	-2.05706	0.002093
SNTB1	-2.05853	1.88E-44
C10orf71	-2.06047	6.04E-13
LINGO2	-2.06721	2.72E-06
LINC01219	-2.07345	5.11E-06
RP11_716H6.2	-2.07487	0.002288
RP3_495K2.4	-2.07895	0.000925
LINC01254	-2.08333	1.03E-38
RP11_651K21.1	-2.0881	0.000108
FAM133A	-2.10155	1.90E-05
C2orf40	-2.10266	1.49E-17
G41767	-2.10311	0.000227
RP4_736H5.3	-2.10505	0.00047
CTC_254B4.1	-2.1061	0.000678
GABRB2	-2.10793	6.03E-14
AC005498.3	-2.11043	1.66E-05
G22304	-2.11162	0.001663
RP11_769N19.2	-2.11618	0.00079
RP4_782L23.2	-2.11891	0.00027
CTC_327F10.1	-2.12342	2.60E-05
ANKRD2	-2.13068	1.51E-14
GABRD	-2.132	2.20E-08
TMPRSS6	-2.13486	2.62E-21
XIRP2	-2.14088	0.002372
SRD5A2	-2.14489	0.000751
LINC00330	-2.15867	0.001661
AC007563.5	-2.16529	1.05E-07
SCUBE1	-2.17149	7.81E-15
C1orf158	-2.17631	0.000939
RP11_616M22.12	-2.1792	0.001283
HS3ST5	-2.18032	3.76E-07
RP11_121E16.1	-2.18154	0.00017
RP11_589B3.6	-2.18491	1.35E-05
RP11_514F3.4	-2.19056	0.00069
RP11_3L21.2	-2.19141	0.000323
NOG	-2.19742	0.000107
G28007	-2.19853	0.000315
FABP7	-2.21392	1.31E-07
RP5_1100I6.1	-2.2192	0.00012
RNU6_911P	-2.21936	0.000205
AC006262.11	-2.22005	2.21E-22
GSX2	-2.22174	4.00E-12
G10551	-2.22485	0.000177
ZNF728	-2.22486	1.22E-08
RP11_70D24.4	-2.2345	0.000559
CUBNP3	-2.24694	0.000341
PTPRD_AS1	-2.25301	0.001108
UGT3A1	-2.27889	3.68E-05
NOL4	-2.28117	6.02E-05
IGLV1_40	-2.29097	0.041842
GAP43	-2.29529	2.67E-10
G25746	-2.29794	2.75E-33
XLOC_009607	-2.30747	8.94E-07
NTM_AS1	-2.3171	5.01E-08
AC018742.1	-2.31767	0.000116
PDYN	-2.32292	0.000324
G30143	-2.32889	7.60E-17
KB_1410C5.1	-2.33001	5.46E-07
RPL7AP15	-2.33009	1.58E-07
AC067959.1	-2.33086	1.98E-27
NHEG1	-2.33187	6.22E-23
RP11_546K22.1	-2.3451	1.15E-07
GLRA3	-2.34787	1.06E-13
HSD11B1	-2.36016	9.06E-15
PLAC1	-2.36082	2.92E-09
G18355	-2.36141	2.98E-13
RP11_15A1.9	-2.36214	8.76E-10
SLC35D3	-2.37014	5.38E-05
RP11_420K14.1	-2.37061	0.000667
AP000439.3	-2.37735	8.62E-43
LINC01153	-2.38065	0.000868
PAK7	-2.38416	7.17E-10
G35308	-2.40577	0.000135
RP4_735C1.4	-2.41366	1.14E-06
CDH12	-2.4311	1.10E-14
G36419	-2.43626	4.35E-09
IGHD	-2.46023	0.005489
RSU1P2	-2.46689	5.51E-05
XLOC_006578	-2.47269	0.000135
RP11_707A18.1	-2.47376	3.46E-16
XLOC_001242	-2.47405	1.08E-05
GAL3ST1	-2.48265	2.34E-10
WIF1	-2.48559	1.60E-13
PLPPR5	-2.49083	0.000106
ZSCAN4	-2.49116	5.97E-08
G27536	-2.49312	2.92E-08
G23907	-2.49471	4.52E-13
RP11_83M16.3	-2.50975	4.38E-05
RP11_3N13.2	-2.51055	0.001362
AP000344.3	-2.5224	2.89E-11
AGBL4	-2.53643	1.43E-16
RP11_217L21.1	-2.54034	5.30E-06
NPY5R	-2.54458	2.50E-38
IL37	-2.54598	6.83E-35
WFIKKN2	-2.57058	4.70E-15
IGKV6_21	-2.57585	1.76E-05
ERBB4	-2.57882	3.50E-21
ADH6	-2.60495	5.83E-29
TRIM60P17	-2.61198	3.66E-06
RP11_973F15.2	-2.62451	3.28E-05
G13548	-2.64089	8.31E-06
KCNV1	-2.64182	6.04E-15
NXNL2	-2.65014	9.48E-07
G33836	-2.65377	9.70E-07
ZIM2	-2.65477	6.62E-05
PSG5	-2.66153	1.31E-13
XLOC_014355	-2.66558	7.11E-06
FLJ26245	-2.66861	0.000991
G43312	-2.68204	7.35E-13
RP11_641A6.3	-2.6912	4.38E-16
AC003090.1	-2.7091	5.92E-12
HSD17B13	-2.71443	1.66E-12
RBPJP7	-2.73669	5.83E-06
G43485	-2.74332	7.12E-06
ASS1P10	-2.74943	5.80E-07
ADORA2BP1	-2.75538	2.18E-20
G23773	-2.79799	3.06E-16
MT4	-2.80125	1.42E-06
RP11_544M22.1	-2.80409	8.37E-06
GPC5_AS2	-2.80453	1.28E-07
G12186	-2.82248	1.89E-10
G23772	-2.83878	7.91E-13
STRA8	-2.85821	7.11E-06
MAB21L1	-2.87464	6.48E-15
IGKV2_24	-2.87604	5.41E-05
AC002451.3	-2.91991	3.41E-07
RP11_597M17.1	-2.92796	3.76E-06
G10019	-2.93771	2.02E-13
CTC_327F10.5	-2.96433	6.12E-31
SPINK1	-2.97843	1.58E-20
CYP1A1	-2.98193	5.67E-12
CTC_327F10.4	-2.98385	3.15E-30
SLN	-2.9873	1.48E-11
PHYHIP	-3.01228	6.86E-70
XLOC_011429	-3.05239	2.27E-09
GLT6D1	-3.05333	1.34E-07
SCGB3A2	-3.07686	4.95E-22
KB_1410C5.2	-3.14295	3.07E-12
C5orf46	-3.17878	8.04E-51
CACNA1H	-3.1844	1.50E-13
G39805	-3.20931	6.83E-14
SLCO1A2	-3.21394	4.62E-13
NPIPB6	-3.21614	1.86E-14
RNU6_495P	-3.23446	1.09E-10
RP11_150O12.3	-3.24707	7.50E-24
RAB3B	-3.29191	8.55E-64
DAW1	-3.29952	6.01E-14
NPIPB7	-3.31981	4.09E-10
BMP3	-3.34528	9.58E-20
G32422	-3.34796	4.03E-13
KRT77	-3.37667	1.54E-53
PMCHL1	-3.43118	1.58E-06
LINC01446	-3.4548	0.003056
TNNC1	-3.45992	1.62E-63
KB_1410C5.3	-3.47017	5.61E-36
CBLN4	-3.47147	3.08E-07
C10orf71_AS1	-3.49821	3.01E-08
AC079753.5	-3.49822	2.42E-20
LCE5A	-3.50772	2.76E-68
AGR3	-3.52907	3.94E-16
G3793	-3.5576	4.21E-29
XLOC_013496	-3.56114	2.25E-09
G30345	-3.56393	2.83E-32
AC011752.1	-3.58095	8.43E-21
G10489	-3.60725	1.20E-20
RAD17P1	-3.63693	1.42E-08
G5664	-3.64234	1.62E-08
CYP1A2	-3.65754	7.14E-11
RP5_1011O1.2	-3.70308	6.79E-10
UGT3A2	-3.7092	3.94E-27
G25046	-3.75201	4.14E-12
BTC	-3.82721	4.07E-71
G3405	-3.86258	9.80E-16
G11194	-3.98116	2.27E-12
G33837	-4.00382	2.09E-11
EEF1GP2	-4.5567	5.12E-19
G40138	-4.61112	3.88E-16
G10488	-4.64158	3.24E-18
AC138647.1	-4.72623	3.26E-16
CHRM4	-5.15625	3.25E-82
AC008268.1	-5.37888	4.61E-18
G19270	-5.66534	3.04E-31
