My Pathways	-log(p-value)	Ratio	Molecules	Novel Genes
Listeriosis	2.17E+00	1.43E-01	"BATF3,EBI3,IL1B,IL6,SH2D2A,SP100"	
Hypergammaglobulinemia	2.12E+00	1.40E-01	"DHX58,IL1B,IRF7,MNDA,PTPN6,SPIB"	
Nonpituitary endocrine tumor	3.04E+00	1.79E-01	"ABCD2,CCNB1,CTSS,FLT4,MMP9,RB1,SSTR2"	
Dysglobulinemia	2.56E+00	1.49E-01	"DHX58,ICOS,IL1B,IRF7,MNDA,PTPN6,SPIB"	
Respiratory distress syndrome	2.30E+00	1.79E-01	"AGTR1,C3,PLA2G2A,PLAT,TAL1"	
Restenosis	3.26E+00	1.94E-01	"ADIPOQ,ATF3,CCL2,FURIN,PTGS2,SLC2A1,WIF1"	
Congenital malformation of genital organs	2.02E+00	1.33E-01	"ESR1,FHL1,FSHR,MERTK,PTGS2,SRD5A2"	
Urogenital infection	3.26E+00	1.94E-01	"CD28,CLEC7A,HYOU1,IRF7,PTGS2,TNFSF15,TOP2A"	
Hereditary connective tissue disorder	2.50E+00	1.46E-01	"CCR1,CSF2,FBN2,IL1B,LTA,RRM2,SPI1"	
Osteopetrosis	2.40E+00	1.40E-01	"CCR1,CSF2,LTA,SOST,SPI1,TYROBP,VDR"	
Contact dermatitis	3.34E+00	2.94E-01	"CAMP,CSF2,FCER1A,FCER1G,PIK3CD"	
Anaphylaxis	2.23E+00	1.72E-01	"CHRM4,CXCL9,FCER1A,FCER1G,HRH1"	
Neovascularization of choroid	2.83E+00	3.08E-01	"MMP9,PGF,PLAT,PLAUR"	
Hyperkeratosis	2.02E+00	1.33E-01	"CTSC,GJB2,IL22,RB1,SLC2A1,SLURP1"	
Medullary thyroid carcinoma	2.17E+00	1.43E-01	"CD28,FLT4,NTRK1,NTRK3,OAS1,RB1"	
Microcytic anemia	2.05E+00	1.56E-01	"ATP12A,HAMP,HBB,IL10,TMPRSS6"	
Early-onset cardiovascular disorder	2.51E+00	1.67E-01	"AGTR1,CA1,CA4,SCO2,TTN,TYMP"	
Pancreaticobiliary cancer	2.45E+00	1.62E-01	"CD274,FLT4,IL24,IL6,RRM2,SYK"	
Familial autoimmune disease	3.11E+00	1.84E-01	"AGTR1,C3,COL4A4,CSF2,IL1B,IL2RA,SLC2A1"	
Allergic airway inflammation	2.52E+00	2.00E-01	"CHRM4,HRH1,IL1B,IL6,SPI1"	
