Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules	Mechanistic Network	Novel Genes
S100A9	4.19	other	Activated	3.854	2.02E-16	"ADAMTS4,ALDH1A1,ALPL,AREG,ATF3,C3,CCL2,CCN5,CCNB1,CD274,CTLA4,CXCL10,CXCL8,FOSL1,FURIN,GJB2,IFNG,IL1B,IL6,ISG15,MMP1,MMP13,MMP3,MMP7,MMP9,NR4A3,NRG1,NTRK3,OLR1,S100A8,S100A9,SCUBE1,SOCS3,TNFRSF4,TNFRSF9,UNC5A,VCAN"	412 (19)	
HBB	-3.08	enzyme	Inhibited	-2.538	3.33E-16	"C3,CCL2,CCL22,CCL3,CCL4,CCL7,CCR7,CSF2,CSF3,CXCL1,CXCL2,CXCL6,CXCL8,CXCL9,IFI44,IFNG,IL10,IL13,IL1B,IL24,IL6,LTA,MMP9,OAS2,OASL,PTGS2,SELE,SERPINE1"	404 (18)	
S100A8	3.3	other	Activated	2.84	7.30E-16	"ADAMTS4,ALDH1A1,ALPL,AREG,ATF3,CCL2,CCN5,CCNB1,CD274,CTLA4,CXCL10,CXCL8,CXCL9,CYBB,FOSL1,FURIN,GJB2,HMOX1,IDO1,IL10,IL1B,IL6,ISG15,MMP1,MMP13,MMP3,MMP7,MMP9,NR4A3,NRG1,NTRK3,OLR1,S100A8,SCUBE1,SOCS3,UNC5A,VCAN"	436 (19)	
IL37	-2.828	cytokine	Inhibited	-3.733	8.64E-16	"CCR7,CSF2,CSF3,CXCL10,CXCL8,CXCL9,DEFB103A,DEFB4A,IFNG,IL1B,IL1RAPL1,IL37,IL6,S100A12,S100A7,S100A8,S100A9,TIMP1"	386 (15)	
CAMP	3.795	other	Activated	3.653	9.67E-16	"ADIPOQ,BTC,C5AR1,CAMP,CCL2,CCL3,CCL4,CCL7,CCR7,CSF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL8,CXCR4,HBEGF,IFNG,IL10,IL1B,IL1F10,IL36B,IL36G,IL37,IL6,ITGAX,ITGB2,NLRP3,PTGS2,SELE"	425 (19)	
SPI1	2.089	transcription regulator	Activated	4.411	2.63E-14	"ADGRE1,ARG1,CCL17,CCL22,CCL3,CCL4,CCNB1,CCR7,CHI3L1,CTSS,CXCL10,CXCL9,CXCR1,CYBB,FCER1A,FCER1G,FES,IFI27,IFI44,IFI6,IL10,IL13,IL1B,IL24,IL2RA,IL6,IRF7,ISG15,ISG20,ITGB2,LILRB3,LTF,MMP1,MX1,NCF1,NCF4,OASL,PSMB8,PTGS2,PTPN6,PTPRC,RSAD2,SPI1,SPP1,TFEC,TNFRSF14,TREM1,TRIM22"	446 (16)	
CCL2	2.955	cytokine	Activated	3.273	3.51E-14	"ADIPOQ,ARG1,CCL1,CCL2,CCR1,CCR3,CFD,CXCL1,CXCL10,CXCL8,CYBB,FLT4,IFNG,IL10,IL13,IL1B,IL6,KRT5,LCN2,LPL,MMP1,MMP10,MMP9,NCF1,PTGDS,PTGS2,SERPINE1,SLC11A1,SOX2,SPP1,TIMP1,ZC3H12A"	420 (18)	
CSF3	2.614	cytokine	Activated	2.303	1.28E-13	"ACR,ADGRE1,ARG1,BIRC3,CAMP,CCL2,CCL3,CCR7,CD177,CTLA4,CXCL8,CXCR4,CYBB,DES,FCGR1A,FPR1,GNLY,GZMB,HMOX1,IFNG,IL10,IL6,ITGB2,JAK3,KALRN,LCN2,LTA,LTF,LY96,MERTK,MMP9,PTGS2,RGS1,S100P,SELL,SOCS3,SPI1,TAL1,TREM1"	403 (19)	
IRF7	2.11	transcription regulator	Activated	5.678	1.45E-13	"CASP4,CCL19,CCL2,CCL8,CTLA4,CXCL10,CXCL9,DHX58,FCGR1A,GBP1,HAMP,IDO1,IFI44,IFI6,IFITM2,IFNE,IL1B,IL4I1,IL6,IRF7,ISG15,ISG20,ITGAX,MX1,MX2,OAS1,OAS2,OASL,PSMB8,RSAD2,RTP4,S100A8,TRIM22,UBA7"	295 (17)	
MIR31HG	4.51	other	Activated	2.227	5.49E-13	"AREG,CXCL1,CXCL2,CXCL8,EREG,IL1B,IL6,MMP1,MMP10,MMP12,MMP3,NRG1,SERPINE1,TIMP1"	393 (22)	
C5AR1	2.882	G-protein coupled receptor	Activated	3.987	4.84E-12	"C3,C5AR1,CCL2,CD28,CSF3,CST7,CXCL8,DCN,FCER1G,FCGR1A,IFNG,IL10,IL13,IL1B,IL6,MMP1,MMP9,SELP,SERPINE1,TYROBP"	343 (19)	
SELP	3.458	transmembrane receptor	Activated	2.6	5.18E-12	"ADIPOQ,ARG1,BCL2A1,C5AR1,CCL2,CCL3,CCL4,CSF2,CXCL2,CXCL8,CXCR4,IL10,IL1B,IL6,PLAUR,SELP"	347 (15)	
SOCS3	2.958	phosphatase	Inhibited	-3.84	1.17E-11	"ARG1,ATF3,CCL2,CTLA4,CXCL10,FCGR1A,GZMB,HAMP,IFNG,IL10,IL1B,IL6,IRS1,ISG20,LCN2,MX1,OAS1,OAS2,PLAUR,S100A8,S100A9,SELP,SGCA,SOCS3"	390 (16)	
CXCL8	7.184	cytokine	Activated	3.387	1.50E-11	"ABCB1,ACKR3,ADGRE1,ARG1,C3,CCL2,CXCL2,CXCL8,CXCR1,DEFB4A,HABP2,IL1B,IL2RA,IL6,ITGAX,ITGB2,KRT5,MMP10,MMP9,NCF1,NCF4,PDCD1,PTGS2,SELE,SELL,SOX2"	470 (18)	
IL36A	2.73	cytokine	Activated	3.407	2.58E-11	"CSF2,CSF3,CXCL1,CXCL10,CXCL8,IL1B,IL36G,IL6,LCN2,S100A7,S100A8,S100A9"	295 (13)	
IL19	5.203	cytokine	Activated	2.375	4.56E-11	"CCL2,CCNB1,CXCR4,HMOX1,IFNG,IL10,IL13,IL6,MMP1,MMP9,SOX2"	390 (16)	
SNCA	2.491	enzyme	Activated	2.268	9.27E-11	"ARG1,ARHGEF4,BTC,CBLN4,CCK,CCR7,CDC20,CHAC1,CHAT,CHRM2,CHRNA6,CLEC7A,CXCR4,CYBB,FABP7,FURIN,GAP43,GDA,GZMB,GZMK,IFNG,IL1B,IL2RA,IL6,IRF7,ISG15,ITGAX,KLF7,KLHL1,LHX2,MARK1,MMP1,MMP9,NCF1,NCF4,NLRP3,NPY5R,NQO1,NR4A2,PLAUR,PTGS2,RBP4,RGS14,RSAD2,SERPINE1,SH2D5,SLC27A1,SNAP25,SNCA,SORCS1,SP8,SPOCK2,TMEM255A,TNFRSF4"	373 (16)	NPY5R
CES1	-2.003	enzyme	Inhibited	-3.047	1.01E-10	"AIM2,BIRC3,CCL2,CXCL1,CXCL2,CXCL8,GBP1,IL1B,IL6,IRF7,LPL,OAS1,OAS2"	249 (11)	
ELF3	2.269	transcription regulator	Activated	2.435	1.45E-10	"ADIPOQ,ANGPTL4,CCL2,CCL8,CSF2,EHF,ELF3,IL36A,IL6,LYZ,MMP10,MMP13,MMP3,PTGS2,SPRR2A"	323 (16)	
PGF	2.266	growth factor	Activated	2.957	2.03E-10	"ANGPTL4,ATF3,CCL2,CCL28,CCL4,CXCL8,CXCR4,DCN,EREG,FOSB,IL1B,IL6,MMP9,SERPINE1"	426 (20)	
CD28	2.115	transmembrane receptor	Activated	5.426	2.84E-10	"CCL3,CCL4,CCR4,CD226,CD274,CD28,CH25H,CSF2,CTLA4,CXCL13,CXCL8,CXCR1,CXCR4,EBI3,FCER1G,GBP1,GZMA,GZMB,HAMP,ICOS,IFNG,IL10,IL12RB2,IL13,IL1B,IL22,IL2RA,IL4I1,IL6,LCP1,LTA,MSR1,MX1,MYCN,NOS1,NR4A1,PCSK7,PDCD1,POLR2A,PTGS2,SH2D2A,SOCS3,SRGN"	327 (19)	
TNFSF15	2.2	cytokine	Activated	3.942	3.02E-10	"ADAM8,BIRC3,C3,CCR7,COL22A1,CSF2,CXCL8,GZMB,HAMP,IFNG,IL13,IL1B,IL22,IL2RA,IL6,MMP7,MMP9,PSMB8,SPP1,SRGN"	382 (17)	
PTGS2	2.375	enzyme	Activated	3.491	4.28E-10	"AREG,ARG1,BATF3,BIRC3,C5AR1,CCL2,CCR7,CD274,CLEC7A,CSF3,CXCL10,CXCL8,CXCR4,CYBB,HBEGF,IDO1,IL10,IL1B,IL6,LORICRIN,LPL,MMP1,MMP7,MMP9,MSR1,NLRC5,NR4A2,PSMB8,PTGS2,SELL,SOST,TNFAIP6,TNFRSF12A,TREM1"	380 (15)	
AREG	2.86	growth factor	Activated	2.864	8.67E-10	"AREG,C3,CCNB1,CDC20,CXCL8,CXCR4,ELF3,EREG,GBP1,IFI6,IL1B,IL6,IQGAP3,KIF20A,MMP1,MMP9,NOS1,PTGS2,RRM2,TNFAIP6,TOP2A"	476 (21)	
NLRP3	2.235	enzyme	Activated	2.498	1.23E-09	"ARG1,C3,CAMP,CCL2,CCR3,CCR7,CD226,CD274,CSF3,CXCR4,DEFB4A,HMOX1,IFNG,IL10,IL13,IL1B,IL6,IRF7,LTF,MMP13,MMP9,MSR1,NLRP1,NLRP3,OLR1,PRKDC,PSMB8,PTGS2,SRGN,TIMP1"	374 (14)	
CLEC7A	2.764	transmembrane receptor	Activated	3.335	1.61E-09	"CCL17,CCL2,CCL22,CCR7,CSF3,CXCL8,IFNGR2,IL10,IL13,IL1B,IL6,PTGS2"	330 (18)	
CTLA4	2.93	transmembrane receptor	Inhibited	-2.042	1.90E-09	"CTLA4,CXCL8,EBI3,FAR2,GZMB,ICOS,IDO1,IFNG,IL10,IL12RB2,IL13,IL2RA,ITGAX,PDCD1,SELE,SELP,TOP2A"	327 (16)	
C3	2.073	peptidase	Activated	3.171	7.70E-09	"C3,C5AR1,CCL2,CCL4,CHRM2,CSF3,CXCL10,CXCL2,CXCL8,HTR3A,IFNG,IL10,IL13,IL1B,IL6,LCN2,NOS1,PTPRC,SELE,SELL,SELP,SNCA,TIMP1"	324 (19)	
PLA2G2E	2.029	enzyme	Inhibited	-2.121	1.49E-08	"ADAM8,CAMP,IL1B,KRT16,KRT6A,KRT6B,S100A9,SERPINE1"		
TYROBP	2.392	transmembrane receptor	Activated	2.902	1.84E-08	"CCL2,CCL3,CCL7,CCR7,CXCL8,IDO1,IFNG,IL10,IL1B,IL6,ITGAX,NCKAP1L,PLEK,SPP1,TYROBP"	386 (23)	
FCER1G	2.09	transmembrane receptor	Activated	2.275	2.15E-08	"CCL3,CCL4,CSF2,CXCL8,IDO1,IL10,IL13,IL1B,IL6,MX1,PTGS2,RSAD2"	418 (19)	
FOSL1	2.555	transcription regulator	Activated	2.001	4.85E-08	"CCL2,CSF3,CXCL8,FLG,FOSB,FOSL1,HAMP,HPGD,IL10,IL1B,IL6,LCN2,MMP1,MMP10,MMP13,MMP3,MMP9,PLAUR,SERPINE1,SLC2A1,SPP1,SPRR1B"	406 (20)	
NR4A3	2.754	ligand-dependent nuclear receptor	Activated	3.085	4.94E-08	"ADAM8,ADGRE1,AQP9,ATF3,BIRC3,CA4,CCL2,CCNB1,CD5L,CDC20,COL10A1,ESR1,IDO1,IL10,IL13,IL1B,IL2RA,IL6,ITGB6,KIF20A,MMP12,MYH2,MYH8,NQO1,NR4A3,PTGS2,SERPINE1,SMAD3,UBE2C"	423 (18)	
OLR1	2.151	transmembrane receptor	Activated	2.701	1.12E-07	"CCL2,CXCL8,CYBB,HAMP,HAS3,IL10,IL6,MMP1,MMP3,NCF1,OLR1,SELP,SPP1"	308 (17)	
ZC3H12A	4.498	enzyme	Inhibited	-3.562	1.26E-07	"ADAM19,ADIPOQ,CCL2,CD226,CSF2,CTSS,CXCL1,CXCL2,EPGN,EREG,FPGS,ICOS,IFNG,IL1B,IL2RG,IL6,IRF7,KRT5,LCN2,LPL,MMP9,NCF1,NUP210,PLEK,PTPN6,RAC2,SELL,SERPINB3,SERPINB4,TNFRSF4"	354 (14)	
LTA	2.314	cytokine	Activated	3.497	1.39E-07	"CCL19,CCL2,CCR4,CD274,CXCL13,IFNG,IFNGR2,IL10,IL1B,IL6,LTA,LYVE1,PTGS2,SELL"	429 (18)	
S100A7	3.934	other	Activated	2.804	1.88E-07	"CCL3,CCL4,CSF2,CXCL1,CXCL8,IL6,MMP13,MMP9"	330 (19)	
NRG1	2.493	growth factor	Activated	3.188	2.04E-07	"AREG,ASCL1,BTC,CDC20,CXCL6,CXCL8,CXCR1,CXCR4,ELF3,EREG,FOSB,FOSL1,GDA,HBEGF,HMOX1,IL10,ITGB2,LGR5,MMP9,MSR1,NR4A1,NR4A3,NRG1,NTRK1,OLFM4,PLAUR,PTGS2,SELE,SERPINE1,SLC2A1,SOX2,SPRR1A,TOP2A"	429 (20)	
MEF2A	2.587	transcription regulator	Activated	2.443	2.11E-07	"ACTC1,ATG4B,CXCL9,FGF14,IRF7,ISG20,MEF2A,MMP10,MX1,MYOCD,NLRC5,NR4A1,RSAD2,SOST,TNNC1,XIRP2"	206 (7)	
CCL3	2.528	cytokine	Activated	2.204	2.78E-07	"CCL2,CCL3,CCL4,CCR1,CXCL9,IFNG,IL1B,IL6,SELE"	369 (19)	
SRGN	2.314	other	Activated	3.606	2.81E-07	"ADGRE1,CD8A,CXCL13,FCMR,GPR65,GZMB,IFNG,IL1B,ITGAX,MMP9,S100A9,SOX2,TREM1"	339 (8)	
ACKR2	2.522	G-protein coupled receptor	Inhibited	-2.331	3.51E-07	"CCL2,CCL22,CXCL9,DHX58,IFNG,IL10,IL1B,IL20,IRF7,ISG15,ISG20,RSAD2"	342 (18)	
IFNE	3.919	cytokine	Activated	2.16	6.73E-07	"CXCL10,CXCL11,CXCL9,HSD11B1,IFNG,IL10,ISG15,ISG20,MX2,PTGS2,SLC2A1"	374 (22)	
HBEGF	2.169	growth factor	Activated	3.141	7.31E-07	"ANGPTL4,ANKRD37,CAMP,CXCR4,DEFB4A,EREG,GNAT2,IL19,IL1B,IL36G,IL6,MMP9,OSMR,PTGS2,S100A12,S100A7,SOX2"	381 (20)	
ICOS	2.714	transmembrane receptor	Activated	2.6	8.76E-07	"CCR3,CCR4,CSF2,CTLA4,CXCR4,ICOS,IFNG,IL10,IL13,IL2RA,IL6,PDCD1"	302 (17)	
SERPINB3	2.51	other	Activated	2.596	1.29E-06	"CXCL1,CXCL8,IL1B,IL6,S100A8,S100A9,SERPINB3"	383 (20)	
CITED2	-2.48	transcription regulator	Inhibited	-4.524	1.31E-06	"ANGPTL4,ARG1,C3,C5AR1,CCL2,CD274,CITED2,CXCL1,CXCL8,CXCL9,CYBB,DNASE1L3,IL1B,IL6,ISG15,LCP2,LPL,MMP1,MMP13,OSM,RGS1,RSAD2,RTP4,TNFSF15,TREML2,UPP1"	391 (21)	
ULBP2	2.634	transmembrane receptor	Activated	2.219	1.94E-06	"CCL1,CCL4,CSF2,IFNG,LTA"	227 (9)	
CCL4	2.593	cytokine	Activated	2.178	2.55E-06	"ACKR2,ADGRE1,ARG1,CCL2,CCL3,CCR1,IL6,PDYN"	364 (20)	
TIMP1	3.105	cytokine	Activated	2.574	3.38E-06	"ADIPOQ,ARG1,CSF2,CXCL1,IFNG,IL1B,IL6,ITGAX,MMP9,PLAT,PLAUR"	346 (18)	
CXCL1	3.326	cytokine	Activated	2.59	5.13E-06	"CCL2,IL1B,IL6,MMP1,MRAS,PTGS2,SOCS3"	395 (20)	
CXCR4	2.059	G-protein coupled receptor	Activated	3.639	5.16E-06	"ACKR3,ANKS1B,CCL2,CSF2,CXCL1,CXCL10,CXCL8,CXCR4,HMOX1,IL10,IL1B,IL24,IL2RA,IL6,MMP13,PRKDC,TNNC1,TOP2A"	300 (18)	
SPP1	2.476	cytokine	Activated	3.513	8.36E-06	"ADIPOQ,ARG1,CCL18,CCL2,CCL3,CCL4,CDC20,CXCL1,CXCL2,CXCL6,CXCL8,HMOX1,IFNG,IL10,IL1B,IL6,MMP1,MMP13,MMP7,MMP9,PDX1,PIK3CD,PTGS2,RB1,SERPINE1,SPP1,TIMP1"	287 (17)	
IL4I1	3.139	enzyme	Inhibited	-2.236	1.09E-05	"CCL2,CCL8,CXCL1,CXCL8,IFNG"	282 (13)	
CH25H	2.803	enzyme	Activated	2.138	1.29E-05	"CCL2,CH25H,CLEC7A,CXCL1,IL1B,IL6,JAK3,NLRP3,PTPRC,TYROBP"	365 (19)	
NOS1	2.056	enzyme	Activated	2.789	1.64E-05	"ADIPOQ,AQP2,ARC,EPO,IL1B,IL6,NOS1,SLC2A1"	348 (18)	
