GeneSymbol	log2FC	p_value_or_padj	Dataset	Comparison	Direction	In_CTD_marker	In_CTD_therapeutic	In_CTD_inferred	In_GeneCards_AD	Species
C5AR1	3.010996	0.005772	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	yes	Human
C5AR1	2.361285	0.004649	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	yes	Human
CA1	2.015276	0.048341	GSE6012_NL	NL_N	Up	yes	yes	no	no	Human
CA4	2.525812	0.008266	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CA4	2.115719	0.002279	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CACNA1H	-3.1844	1.50E-13	GSE121212	L_N	Down	yes	yes	no	no	Human
CACNG3	2.077223	0.007096	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CADM1	2.055805	0.008266	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CALU	2.103126	0.030276	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
CAMP	3.795059	8.74E-12	GSE121212	L_N	Up	yes	yes	no	yes	Human
CARD11	2.171725	0.025696	GSE6012_L	L_N	Up	yes	yes	no	yes	Human
CASP14	2.29283	0.022486	GSE6012_L	L_N	Up	yes	yes	no	yes	Human
CASP4	3.52842	7.06E-05	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CASP4	2.664856	0.001871	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
CASQ1	2.730877	0.004425	GSE6012_NL	NL_N	Up	yes	yes	no	no	Human
CBLN2	-2.38	0.04	Acute_GSE36842	L_vs_NL	Down	yes	yes	no	no	Human
CBLN2	-2.28	0.21	Chronic_GSE36842	L_vs_NL	Down	yes	yes	no	no	Human
CBLN4	-3.47147	3.08E-07	GSE121212	L_N	Down	yes	yes	no	no	Human
CCDC121	2.012079	0.004649	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
CCDC70	2.843648	0.019631	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CCDC88B	2.358795	0.005192	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CCDC88B	2.005946	0.039243	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
CCK	2.073955	0.011134	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CCK	2.606751	0.037809	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CCK	2.022299	0.008775	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
CCK	2.244546	0.001871	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
CCK	3.788284	0.001474	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
CCK	5.369899	0.001474	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
CCL1	3.395548	3.81E-08	GSE121212	L_N	Up	yes	yes	no	yes	Human
CCL13	2.796754	1.53E-19	GSE121212	L_N	Up	yes	yes	no	yes	Human
CCL13	2.14	0.0086	GSE5667	L_N	Up	yes	yes	no	yes	Human
CCL13	2.09	0.029	Acute_GSE36842	L_vs_NL	Up	yes	yes	no	yes	Human
CCL17	2.021063	6.73E-13	18_L	L_N	Up	yes	yes	no	yes	Human
CCL17	3.482405	1.12E-18	GSE121212	L_N	Up	yes	yes	no	yes	Human
CCL17	2.177283	0.02313	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	yes	Human
CCL18	2.898499	8.51E-36	18_L	L_N	Up	yes	yes	no	yes	Human
CCL18	4.798442	3.07E-31	GSE121212	L_N	Up	yes	yes	no	yes	Human
CCL18	2.64	0.0014	GSE16161	L_N	Up	yes	yes	no	yes	Human
CCL18	2.87	0.0001	GSE32924	L_N	Up	yes	yes	no	yes	Human
CCL18	3.46	2.60E-05	GSE5667	L_N	Up	yes	yes	no	yes	Human
CCL18	2.46	0.0018	GSE75890	L_N	Up	yes	yes	no	yes	Human
CCL18	3	0.018	Acute_GSE36842	L_vs_NL	Up	yes	yes	no	yes	Human
CCL18	2.39	0.0056	GSE27887	L_vs_NL	Up	yes	yes	no	yes	Human
CCL19	2.193609	7.15E-17	GSE121212	L_N	Up	yes	yes	no	yes	Human
CCL19	2.484345	0.008266	GSE6012_L	L_N	Up	yes	yes	no	yes	Human
CCL19	2.503155	0.001474	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	yes	Human
CCL2	2.324453	1.40E-23	GSE121212	L_N	Up	yes	yes	yes	yes	Human
CCL2	2.955049	0.003191	GSE6012_L	L_N	Up	yes	yes	yes	yes	Human
CCL2	4.226186	0.001474	GSE6012_L_NL	L_vs_NL	Up	yes	yes	yes	yes	Human
CCL22	2.54606	2.14E-33	GSE121212	L_N	Up	yes	yes	no	yes	Human
CCL26	2.01	3.80E-05	GSE32924	L_N	Up	yes	yes	no	yes	Human
CCL28	2.012708	0.019223	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
CCL3	2.528318	1.43E-05	GSE121212	L_N	Up	yes	yes	yes	yes	Human
CCL4	2.592798	6.26E-07	GSE121212	L_N	Up	yes	yes	yes	yes	Human
CCL7	2.947026	2.34E-05	GSE121212	L_N	Up	yes	yes	yes	yes	Human
CCL8	3.540267	0.001128	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CCL8	2.152592	0.001919	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CCL8	3.358701	0.013104	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
CCL8	2.930602	0.005772	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
CCNB1	2.33	0.0002	GSE16161	L_N	Up	yes	yes	yes	no	Human
CCNJL	2.430794	0.012876	GSE6012_NL	NL_N	Up	yes	yes	no	no	Human
CCR1	4.487162	8.74E-05	GSE6012_L	L_N	Up	yes	yes	no	yes	Human
CCR1	3.332407	0.001871	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	yes	Human
CCR3	2.966158	0.001474	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	yes	Human
CCR4	2.239176	1.97E-17	GSE121212	L_N	Up	yes	yes	no	yes	Human
CCR7	2.459942	3.40E-28	GSE121212	L_N	Up	yes	yes	no	yes	Human
CD177	2.506517	2.06E-17	18_L	L_N	Up	yes	yes	no	no	Human
CD177	6.088659	1.57E-20	GSE121212	L_N	Up	yes	yes	no	no	Human
CD177	2.06	0.0397	GSE140227	L_N	Up	yes	yes	no	no	Human
CD177	2.47	0.002	GSE75890	L_N	Up	yes	yes	no	no	Human
CD1B	3.246481	7.22E-21	GSE121212	L_N	Up	yes	yes	no	no	Human
CD226	2.106078	1.27E-21	GSE121212	L_N	Up	yes	yes	no	no	Human
CD274	2.288302	2.65E-31	GSE121212	L_N	Up	yes	yes	no	no	Human
CD274	2.841254	0.008266	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CD28	2.1147	4.25E-17	GSE121212	L_N	Up	yes	yes	no	yes	Human
CD48	2.623863	0.0003	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CD48	2.092749	0.000443	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CD5L	3.118965	0.037809	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CD8A	2.512575	0.019631	GSE6012_L	L_N	Up	yes	yes	no	yes	Human
CDA	3.42506	0.000782	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CDA	3.376586	0.000108	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CDA	2.506017	0.004649	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
CDA	2.472292	0.005772	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
CDC20	2.6	2.40E-05	GSE16161	L_N	Up	yes	yes	yes	no	Human
CDC42BPA	2.591944	0.008266	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CDC42BPA	2.462583	0.003729	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
CDH12	-2.07413	2.02E-28	18_L	L_N	Down	yes	yes	no	no	Human
CDH12	-2.4311	1.10E-14	GSE121212	L_N	Down	yes	yes	no	no	Human
CDSN	-2.89	0.00025	GSE16161	L_N	Down	yes	yes	no	yes	Human
CELSR3	2.519815	0.005772	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
CEP55	2.7	7.10E-06	GSE16161	L_N	Up	yes	yes	no	no	Human
CES1	-2.00275	3.87E-19	GSE121212	L_N	Down	yes	yes	no	no	Human
CFD	-2.34	0.00042	GSE16161	L_N	Down	yes	yes	no	no	Human
CFH	-2.36	0.0016	GSE16161	L_N	Down	yes	yes	no	no	Human
CFP	3.547921	0.0027	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CH25H	2.803182	1.56E-20	GSE121212	L_N	Up	yes	yes	no	no	Human
CHAC1	2.391577	4.05E-28	18_L	L_N	Up	yes	yes	no	no	Human
CHAC1	3.19479	4.65E-16	GSE121212	L_N	Up	yes	yes	no	no	Human
CHAT	4.05267	8.80E-08	GSE121212	L_N	Up	yes	yes	no	no	Human
CHI3L1	4.634703	0.004425	GSE6012_L	L_N	Up	yes	yes	no	yes	Human
CHI3L1	4.055177	0.001919	GSE6012_L	L_N	Up	yes	yes	no	yes	Human
CHI3L1	3.907468	0.007132	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	yes	Human
CHI3L1	3.101768	0.004649	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	yes	Human
CHI3L2	3.63928	4.22E-41	GSE121212	L_N	Up	yes	yes	no	no	Human
CHI3L2	2.46	0.0042	GSE75890	L_N	Up	yes	yes	no	no	Human
CHRDL1	-2.94	0.00013	GSE16161	L_N	Down	yes	yes	no	no	Human
CHRM2	-2.01369	2.25E-05	GSE121212	L_N	Down	yes	yes	no	yes	Human
CHRM4	-2.25336	6.69E-18	18_L	L_N	Down	yes	yes	no	no	Human
CHRM4	-5.15625	3.25E-82	GSE121212	L_N	Down	yes	yes	no	no	Human
CHRNA6	3.674812	4.42E-10	GSE121212	L_N	Up	yes	yes	no	no	Human
CHRNA6	2.080803	0.042802	GSE6012_NL	NL_N	Up	yes	yes	no	no	Human
CHRNA9	2.120499	1.27E-12	GSE121212	L_N	Up	yes	yes	no	no	Human
CHST1	2.24726	6.71E-17	GSE121212	L_N	Up	yes	yes	no	no	Human
CILP	-2.08	0.00053	GSE16161	L_N	Down	yes	yes	no	no	Human
CITED2	-2.48	4.10E-07	GSE16161	L_N	Down	yes	yes	no	no	Human
CKAP5	2.48708	0.004425	GSE6012_NL	NL_N	Up	yes	yes	no	no	Human
CLC	2.18618	1.34E-10	18_L	L_N	Up	yes	yes	no	yes	Human
CLCA4	2.453785	0.015906	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
CLCN1	2.962577	1.13E-12	GSE121212	L_N	Up	yes	yes	no	no	Human
CLDN23	-2.02567	1.56E-25	GSE121212	L_N	Down	yes	yes	no	no	Human
CLDN3	2.20673	0.005772	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
CLDND2	2.60357	0.017097	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CLEC10A	2.331927	4.81E-24	GSE121212	L_N	Up	yes	yes	no	no	Human
CLEC4C	2.454024	1.27E-07	GSE121212	L_N	Up	yes	yes	no	no	Human
CLEC4G	2.942801	0.001611	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CLEC7A	2.764107	4.28E-64	GSE121212	L_N	Up	yes	yes	no	no	Human
CNBD1	2.962626	0.0027	GSE6012_L	L_N	Up	yes	yes	no	no	Human
CNGB1	3.391268	1.74E-18	GSE121212	L_N	Up	yes	yes	no	no	Human
CNOT4	2.009768	0.025285	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
CNTNAP5	2.21176	0.017097	GSE6012_L	L_N	Up	yes	yes	no	no	Human
COCH	-2.25	0.00035	GSE16161	L_N	Down	yes	yes	no	no	Human
COL10A1	2.021842	0.043784	GSE6012_L	L_N	Up	yes	yes	no	no	Human
COL11A2	2.0551	0.017097	GSE6012_L	L_N	Up	yes	yes	no	no	Human
COL13A1	2.052193	0.019223	GSE6012_L_NL	L_vs_NL	Up	yes	yes	no	no	Human
COL22A1	2.115373	4.70E-07	GSE121212	L_N	Up	yes	yes	no	no	Human
COL4A4	2.171797	2.29E-29	GSE121212	L_N	Up	yes	yes	no	no	Human
COL6A6	2.191755	3.19E-25	18_L	L_N	Up	yes	yes	no	no	Human
COL6A6	3.346821	4.05E-31	GSE121212	L_N	Up	yes	yes	no	no	Human
COL6A6	2.76	0.0002	GSE32924	L_N	Up	yes	yes	no	no	Human
COL7A1	2.190764	0.03332	GSE6012_L	L_N	Up	yes	yes	no	yes	Human
