Categories	Diseases or Functions Annotation	p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules	Novel Genes
"Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Cell movement of neutrophils	5.12E-39	Increased	5.826	"ADAM8,ALOX5AP,BTK,C3,C3AR1,C5AR1,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CD36,CD74,CHI3L1,CORO1A,CSF2,CSF2RA,CTSC,CXCL8,CYBB,EGFR,FERMT3,FFAR2,GPR65,HAVCR1,IL18,IL20,IL33,IL36G,IL6,INPP5D,ITGAM,ITGB2,JAML,LBP,LYN,MMP12,MSR1,MYO1F,NCKAP1L,PDK4,POSTN,PTX3,RAC2,S100A12,S100A8,S100A9,SAA1,SELL,SELP,SELPLG,SPI1,THBS4,TIMP1,TNFAIP6,VTN"	58	CCL23
"Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking"	Cell movement of leukocytes	1.45E-51	Increased	5.809	"ADAM8,ADORA3,AIF1,ALOX5AP,APOD,BAMBI,BATF3,BTK,C3,C3AR1,C5AR1,CCL13,CCL15,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CCR5,CD209,CD36,CD48,CD53,CD74,CD86,CHI3L1,CLEC4M,CORO1A,CSF1R,CSF2,CSF2RA,CTLA4,CTSC,CTSS,CX3CR1,CXCL8,CYBB,EGFR,F3,FCER1A,FERMT3,FFAR2,FOS,GAL3ST1,GLRB,GPR65,HAVCR1,HCLS1,HP,ICOS,IDO1,IL10RA,IL13,IL18,IL18BP,IL20,IL33,IL36G,IL6,IL9,INPP5D,IRAK4,ISM1,ITGAM,ITGB2,JAML,LAPTM5,LBP,LEP,LTB,LYN,MMP12,MSR1,MYO1F,NCKAP1L,NLRP10,P2RY12,PDK4,POSTN,PTX3,RAC2,RGS1,S100A12,S100A8,S100A9,SAA1,SELL,SELP,SELPLG,SERPINA3,SERPING1,SLAMF1,SPI1,THBS2,THBS4,TIMP1,TNFAIP6,TNFSF9,VTN"	102	"CLEC4M, CCL23"
Cellular Movement	Chemotaxis	4.82E-39	Increased	5.788	"ADAM8,ADORA3,AIF1,BIN2,C3,C3AR1,C5AR1,CCL13,CCL15,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CCR5,CD36,CD74,CHI3L1,CORO1A,CSF1R,CSF2,CSF2RA,CX3CR1,CXCL8,CYBB,EGFR,F3,GLRB,HAVCR1,HCLS1,HP,IL13,IL18,IL20,IL33,IL6,INPP5D,IRAK4,ITGAM,ITGB2,JAML,LBP,LEP,LPAR3,LYN,MYO1F,NCKAP1L,P2RY12,PTPRC,RAC2,RGS1,S100A12,S100A8,S100A9,SAA1,SELL,SELP,SELPLG,SERPINA3,SLAMF1,SPI1,THBS2,THBS4,TNFAIP6,VTN"	68	CCL23
"Cellular Movement,Immune Cell Trafficking"	Leukocyte migration	5.45E-54	Increased	5.786	"ADAM8,ADORA3,AIF1,ALOX5AP,APOD,BAMBI,BATF3,BTK,C3,C3AR1,C5AR1,CCL13,CCL15,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CCR5,CD209,CD36,CD48,CD53,CD74,CD86,CHI3L1,CLEC4M,CORO1A,CSF1R,CSF2,CSF2RA,CTLA4,CTSC,CTSS,CX3CR1,CXCL8,CYBB,EGFR,F13A1,F3,FCER1A,FCGR3B,FERMT3,FFAR2,FOS,GAL3ST1,GLRB,GPR65,HAVCR1,HCLS1,HP,ICOS,IDO1,IL10RA,IL13,IL18,IL18BP,IL20,IL33,IL36G,IL6,IL9,INPP5D,IRAK4,ISM1,ITGAM,ITGB2,JAML,LAPTM5,LBP,LEP,LPAR3,LTB,LYN,MMP1,MMP12,MSR1,MYO1F,NCF4,NCKAP1L,NLRP10,P2RY12,PDK4,POSTN,PTPRC,PTX3,RAC2,RGS1,S100A12,S100A8,S100A9,SAA1,SELL,SELP,SELPLG,SERPINA3,SERPING1,SLAMF1,SPI1,THBS2,THBS4,TIMP1,TNFAIP6,TNFSF9,VTN,XDH"	109	"CLEC4M, CCL23"
"Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Migration of phagocytes	3.21E-36	Increased	5.467	"BATF3,BTK,C3,CCL17,CCL19,CCL2,CCL20,CCL4,CCL5,CCR1,CD209,CD74,CD86,CLEC4M,CORO1A,CSF1R,CSF2,CTSS,CX3CR1,CXCL8,CYBB,EGFR,GPR65,HCLS1,IL10RA,IL13,IL18,IL33,IL6,INPP5D,ITGAM,ITGB2,LEP,LYN,MMP12,MYO1F,NCKAP1L,NLRP10,POSTN,PTX3,RAC2,S100A8,S100A9,SAA1,SELL,SELP,SELPLG,SPI1,TIMP1,TNFSF9,VTN"	51	CLEC4M
"Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Chemotaxis of granulocytes	5.04E-34	Increased	5.304	"C3,C3AR1,C5AR1,CCL13,CCL15,CCL19,CCL2,CCL23,CCL4,CCL5,CD74,CHI3L1,CORO1A,CSF2,CSF2RA,CXCL8,IL13,IL18,IL20,IL33,IL6,INPP5D,ITGAM,ITGB2,JAML,LBP,LYN,MYO1F,NCKAP1L,RAC2,S100A12,S100A8,S100A9,SELL,SELP,SELPLG,SPI1,THBS4,TNFAIP6,VTN"	40	CCL23
"Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking"	Cell movement of mononuclear leukocytes	1.50E-31	Increased	5.159	"ADAM8,AIF1,APOD,BTK,C3,CCL13,CCL15,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CCR5,CD209,CD48,CD74,CD86,CORO1A,CSF2,CTLA4,CTSS,CX3CR1,CXCL8,EGFR,F3,FCER1A,FERMT3,FOS,HCLS1,HP,ICOS,IL13,IL18,IL18BP,IL33,IL6,IL9,INPP5D,ISM1,ITGAM,ITGB2,LEP,LTB,LYN,MMP12,NCKAP1L,POSTN,RAC2,RGS1,S100A12,SAA1,SELL,SELP,SELPLG,SERPINA3,THBS2,TIMP1,TNFSF9,VTN"	62	CCL23
"Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Chemotaxis of neutrophils	6.11E-33	Increased	5.115	"C3,C3AR1,C5AR1,CCL19,CCL2,CCL23,CCL4,CCL5,CD74,CHI3L1,CORO1A,CSF2,CSF2RA,CXCL8,IL18,IL20,IL33,IL6,INPP5D,ITGAM,ITGB2,JAML,LBP,LYN,MYO1F,NCKAP1L,RAC2,S100A12,S100A8,S100A9,SELL,SELP,SELPLG,SPI1,THBS4,TNFAIP6,VTN"	37	CCL23
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function"	Interaction of leukocytes	9.99E-41	Increased	4.989	"BPI,BTK,C1QA,C3,CCL15,CCL17,CCL19,CCL2,CCL20,CCL4,CCL5,CCR1,CCR5,CD209,CD36,CD48,CD74,CD86,CLEC4M,CORO1A,CSF2,CTLA4,CX3CR1,CXCL8,CYBB,F3,FCGR1A,FCGR3A,FCGR3B,FERMT3,FGG,HLA-DMA,ICAM3,ICOS,IL13,IL18,IL33,IL6,INPP5D,ITGAM,ITGB2,LBP,LYN,MRC1,MSR1,NCKAP1L,P2RY12,PTPRC,RAC2,RGS1,S100A8,S100A9,SAA1,SELL,SELP,SELPLG,SERPING1,SPI1,THBS2,VTN"	60	CLEC4M
Cell-To-Cell Signaling and Interaction	Interaction of blood cells	3.89E-39	Increased	4.87	"BPI,BTK,C1QA,C3,CCL15,CCL17,CCL19,CCL2,CCL20,CCL4,CCL5,CCR1,CCR5,CD209,CD36,CD48,CD74,CD86,CLEC4M,CORO1A,CSF2,CTLA4,CX3CR1,CXCL8,CYBB,F3,FCGR1A,FCGR3A,FCGR3B,FERMT3,FGG,HLA-DMA,ICAM3,ICOS,IL13,IL18,IL33,IL6,INPP5D,ITGAM,ITGB2,LBP,LYN,MRC1,MSR1,NCKAP1L,P2RY12,PTPRC,PTX3,RAC2,RGS1,S100A8,S100A9,SAA1,SELL,SELP,SELPLG,SERPING1,SPI1,THBS2,VTN"	61	CLEC4M
"Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking"	Migration of mononuclear leukocytes	2.47E-27	Increased	4.8	"ADAM8,AIF1,APOD,BTK,C3,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CCR5,CD209,CD48,CD74,CD86,CORO1A,CSF2,CTLA4,CTSS,CX3CR1,CXCL8,EGFR,F3,FCER1A,FERMT3,FOS,HCLS1,ICOS,IL13,IL18,IL18BP,IL33,IL6,INPP5D,ITGAM,ITGB2,LEP,LTB,LYN,NCKAP1L,POSTN,RAC2,RGS1,SELL,SELP,SELPLG,THBS2,TIMP1,TNFSF9"	52	CCL23
Cellular Function and Maintenance	Cellular homeostasis	1.79E-26	Increased	4.757	"ADAM8,ANGPTL7,ANKRD9,ATP2B2,BCO2,BPI,BTK,C3,C3AR1,C5AR1,C7,CACNA1I,CASP1,CCL13,CCL15,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CCR5,CD209,CD36,CD3D,CD74,CD86,CHRNB4,CORO1A,CSF1R,CSF2,CTLA4,CXCL8,CYBB,DRAM1,EGFR,F3,FCER1A,FCGR1A,FCGR3A,FCGR3B,FFAR2,FGF6,FGFR2,FOS,FZD2,GATM,GHRH,GIMAP4,GLRB,GPR171,HK2,HLA-DMA,ICOS,IDO1,IFNAR2,IGFBP5,IKZF1,IL10RA,IL13,IL13RA2,IL18,IL20,IL2RG,IL33,IL36G,IL6,IL9,INPP5D,ITGB2,LAPTM5,LEP,LPAR3,LTB,LYN,MMP1,MRGPRD,MSR1,NCKAP1L,NFKBID,OSCAR,PDK4,PHEX,PLAC8,PTPRC,PYCARD,RAC2,S100A8,S100A9,SAA1,SASH3,SERPINA3,SLAMF1,SPI1,TBXAS1,TESPA1,THBS2,THBS4,TLR1,TNFSF9,TRAT1,VTN,XDH"	105	CCL23
Cell-To-Cell Signaling and Interaction	Activation of cells	2.22E-56	Increased	4.699	"ADAM8,ATP2B2,BAMBI,BATF3,BPI,BTK,C1QA,C3,C3AR1,C5AR1,CASP1,CCL13,CCL17,CCL2,CCL20,CCL23,CCL4,CCL5,CCR5,CD163,CD180,CD1E,CD209,CD36,CD48,CD74,CD86,CHI3L1,CLEC4G,CLEC4M,CORO1A,CSF1R,CSF2,CTLA4,CTSH,CTSS,CX3CR1,CXCL8,CYBB,DAPP1,EGFR,F13A1,F3,FCER1A,FCGR1A,FCGR3A,FFAR2,FGF6,FGG,FGL1,FOS,FRZB,GABRD,GJD2,HAVCR1,HLA-DMA,HLA-DMB,HVCN1,ICAM3,ICOS,IDO1,IFNAR2,IL10RA,IL13,IL13RA2,IL18,IL18RAP,IL2RG,IL33,IL36G,IL6,IL9,INPP5D,IRAK4,ITGAM,ITGB2,LAPTM5,LBP,LEP,LTB,LYN,MILR1,MMP1,MSR1,MT-CO1,MT-ND5,MT-ND6,NFKBID,NLRP10,P2RY12,PDK4,PLEK,PSMB9,PTPRC,PTX3,PYCARD,S100A12,S100A8,S100A9,SAA1,SASH3,SELL,SELP,SELPLG,SERPING1,SLAMF1,SPI1,THBS4,TIMP1,TLR1,TNFAIP6,TNFSF9,VTN"	113	"MT-ND6, MT-ND5, CLEC4M, CCL23"
"Cell-To-Cell Signaling and Interaction,Cellular Movement"	Recruitment of cells	1.89E-34	Increased	4.662	"ADORA3,ALOX5AP,C3,C3AR1,C5AR1,CCL15,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CD36,CD53,CD74,CHI3L1,CSF1R,CSF2,CTSC,CX3CR1,CXCL8,EGFR,F13A1,F3,FCER1A,FCGR3B,FERMT3,FOS,IDO1,IL13,IL18,IL33,IL36G,IL6,IL9,INPP5D,ITGAM,ITGB2,LEP,LPAR3,LYN,MMP1,MMP12,NCF4,PTX3,S100A8,SELL,SELP,SELPLG,THBS2,TIMP1,XDH"	54	CCL23
"Cell-To-Cell Signaling and Interaction,Cellular Movement"	Recruitment of myeloid cells	1.38E-32	Increased	4.594	"ADORA3,ALOX5AP,C3,C3AR1,C5AR1,CCL15,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CD36,CD53,CD74,CHI3L1,CSF1R,CSF2,CTSC,CX3CR1,CXCL8,F3,FCGR3B,FERMT3,IDO1,IL13,IL18,IL33,IL36G,IL6,IL9,INPP5D,ITGAM,ITGB2,LEP,LYN,MMP1,MMP12,NCF4,PTX3,S100A8,SELL,SELP,SELPLG,THBS2,XDH"	47	CCL23
Free Radical Scavenging	Synthesis of reactive oxygen species	4.08E-17	Increased	4.489	"ABCD2,ADORA3,ARHGDIB,C3,C3AR1,C5AR1,CA3,CCL13,CCL4,CCL5,CD36,CSF2,CTLA4,CXCL8,CYBB,EGFR,FCER1A,FCGR3B,FCMR,FFAR2,FOS,GJD2,HK2,HP,HVCN1,IL13,IL18,IL33,IL6,IRAK4,ITGAM,ITGB2,LEP,LYN,MMP1,MRC1,MSR1,MT-ND6,NCF4,PDK4,RAC2,S100A8,SELP,SELPLG,SPI1,XDH"	46	MT-ND6
"Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking"	Recruitment of leukocytes	1.16E-35	Increased	4.476	"ADORA3,ALOX5AP,C3,C3AR1,C5AR1,CCL15,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CD36,CD53,CD74,CHI3L1,CSF1R,CSF2,CTSC,CX3CR1,CXCL8,F13A1,F3,FCER1A,FCGR3B,FERMT3,FOS,IDO1,IL13,IL18,IL33,IL36G,IL6,IL9,INPP5D,ITGAM,ITGB2,LEP,LPAR3,LYN,MMP1,MMP12,NCF4,PTX3,S100A8,SELL,SELP,SELPLG,THBS2,TIMP1,XDH"	53	CCL23
Free Radical Scavenging	Metabolism of reactive oxygen species	4.68E-17	Increased	4.429	"ABCD2,ADORA3,ARHGDIB,C3,C3AR1,C5AR1,CA3,CCL13,CCL4,CCL5,CD36,CSF2,CTLA4,CXCL8,CYBB,EGFR,FAM210B,FCER1A,FCGR3B,FCMR,FFAR2,FOS,GJD2,HK2,HP,HVCN1,IL13,IL18,IL33,IL6,IRAK4,ITGAM,ITGB2,LEP,LYN,MMP1,MRC1,MSR1,MT-ND6,NCF4,PDK4,RAC2,S100A8,SELP,SELPLG,SPI1,XDH"	47	MT-ND6
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function"	Activation of blood cells	1.29E-53	Increased	4.419	"BATF3,BPI,BTK,C1QA,C3,C3AR1,C5AR1,CASP1,CCL13,CCL17,CCL2,CCL20,CCL23,CCL4,CCL5,CCR5,CD163,CD180,CD1E,CD209,CD36,CD48,CD74,CD86,CHI3L1,CLEC4G,CLEC4M,CORO1A,CSF1R,CSF2,CTLA4,CTSH,CTSS,CX3CR1,CXCL8,CYBB,DAPP1,EGFR,F3,FCER1A,FCGR1A,FCGR3A,FGG,FGL1,FOS,HAVCR1,HLA-DMA,HLA-DMB,HVCN1,ICAM3,ICOS,IDO1,IL13,IL13RA2,IL18,IL18RAP,IL2RG,IL33,IL6,IL9,INPP5D,IRAK4,ITGAM,ITGB2,LAPTM5,LBP,LEP,LTB,LYN,MILR1,MMP1,MSR1,MT-CO1,MT-ND5,MT-ND6,NFKBID,NLRP10,P2RY12,PDK4,PLEK,PSMB9,PTPRC,PTX3,PYCARD,S100A12,S100A8,S100A9,SAA1,SASH3,SELL,SELP,SELPLG,SERPING1,SLAMF1,TLR1,TNFSF9,VTN"	97	"MT-ND6, MT-ND5, CLEC4M, CCL23"
"Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Recruitment of phagocytes	2.57E-34	Increased	4.416	"ADORA3,ALOX5AP,C3AR1,C5AR1,CCL15,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CD36,CD53,CD74,CHI3L1,CSF1R,CSF2,CTSC,CX3CR1,CXCL8,F13A1,F3,FCGR3B,FERMT3,IDO1,IL13,IL18,IL33,IL36G,IL6,IL9,INPP5D,ITGAM,ITGB2,LEP,LYN,MMP1,MMP12,NCF4,PTX3,S100A8,SELL,SELP,SELPLG,THBS2,XDH"	47	CCL23
"Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Cell movement of monocytes	7.55E-19	Increased	4.398	"AIF1,CCL15,CCL17,CCL19,CCL2,CCL20,CCL23,CCL4,CCL5,CCR1,CSF2,CTSS,CX3CR1,CXCL8,EGFR,HP,IL13,IL6,ITGAM,ITGB2,LYN,MMP12,NCKAP1L,POSTN,RAC2,S100A12,SERPINA3"	27	CCL23
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function"	Interaction of lymphocytes	6.68E-20	Increased	4.357	"BTK,CCL17,CCL19,CCL2,CCL20,CCL4,CCL5,CCR1,CD209,CD48,CD86,CLEC4M,CTLA4,FCGR3A,FERMT3,HLA-DMA,ICAM3,ICOS,IL6,ITGB2,RAC2,RGS1,SAA1,SELL,SELP,SELPLG,THBS2"	27	CLEC4M
