Symbol	Synonym(s)	Entrez Gene Name	Gene Symbol - human (HUGO / HGNC / Entrez Gene)	Expr Log Ratio	Expr p-value	Location	Family	Drugs	Entrez Gene ID for Human	Entrez Gene ID for Mouse	Entrez Gene ID for Rat
MYD88	"IMD68, MYD88D, MYD88 innate immune signal transduction adaptor, MYD88, innate immune signal transduction adaptor, myeloid differentiation primary response gene 88, WM1"	MYD88 innate immune signal transduction adaptor				Plasma Membrane	other	bazlitoran	4615	17874	301059
Neutrophil degranulation						Other	canonical pathway				
Pathogen Induced Cytokine Storm Signaling Pathway						Other	canonical pathway				
Proinflammatory response						Other	function				
Quantity of regulatory T lymphocytes						Other	function				
Response of lymphocytes						Other	function				
Response of mononuclear leukocytes						Other	function				
RIGI	"6430573D20Rik, C330021E21, DDX58, RIG1, RLR-1, RNA HELICASE, RNA sensor RIG-1, RNA sensor RIG-I, SGMRT2"	RNA sensor RIG-I				Cytoplasm	enzyme	MK-4621	23586	230073	297989
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses						Other	canonical pathway				
Stimulation of cells						Other	function				
Stimulation of leukocytes						Other	function				
Stimulation of lymphocytes						Other	function				
Stimulation of mononuclear leukocytes						Other	function				
Stimulation of T lymphocytes						Other	function				
T cell response						Other	function				
TICAM1	"AW046014, IIAE6, MyD88-3, PRVTIRB, TIR domain containing adaptor molecule 1, TOLL-LIKE receptor ADAPTOR MOLECULE 1, TRIF"	TIR domain containing adaptor molecule 1				Nucleus	other		148022	106759	363328
TLR3	"CD283, IIAE2, IMD83, toll-like receptor 3"	toll like receptor 3				Plasma Membrane	transmembrane receptor	"rintatolimod, poly rI:rC-RNA"	7098	142980	364594
TLR4	"ARMD10, CD284, HTOLL, Ly87, Ran/M1, Rasl2-8, Tlrp4, TOLL, TOLL receptor, toll-like receptor 4"	toll like receptor 4				Plasma Membrane	transmembrane receptor	"eritoran, resatorvid, OM 174 lipid, GSK1795091"	7099	21898	29260
TLR7	"IMD74, RGD1563357, SLEB17, TLR7-like, Toll-like receptor 7"	toll like receptor 7				Plasma Membrane	transmembrane receptor	"SHR2150, APR003, BDB018, enpatoran, vesatolimod, UC-1V150, PF-4878691, 5-fluorouracil/imiquimod, resiquimod, hydroxychloroquine, imiquimod, NKTR-262, LHC165, DSP-0509, BDC-1001, TQ-A3334, BNT411, RO7119929"	51284	170743	317468
TNF	"AT-TNF, DIF, IMD127, LOC103694380, RATTNF, TMTNF, TNF-a, TNF-alpha, Tnfsf1a, TNFSF2, TNF-?, TNLG1F, tumor necrosis factor, Tumor Necrosis Factor ?, tumor necrosis factor, ?, tumour necrosis factor, tumour Necrosis Factor Alpha, tumour necrosis factor, alpha, tumour Necrosis Factor ?, tumour necrosis factor, ?"	tumor necrosis factor				Extracellular Space	cytokine	"adalimumab/corticosteroid, adalimumab, etanercept, infliximab, certolizumab, golimumab, AF-B2637, AF-M2637, AF-M2630, tumor necrosis factor receptor antagonist, afelimomab, infliximab/methotrexate, dexamethasone/thalidomide, dexamethasone/pomalidomide, cyclophosphamide/dexamethasone/thalidomide, golimumab/methotrexate, bortezomib/dexamethasone/thalidomide, rituximab/thalidomide, bortezomib/thalidomide, prednisone/thalidomide, adalimumab/methotrexate, etanercept/methotrexate, pomalidomide, bortezomib/dexamethasone/pomalidomide, thalidomide, infliximab/methylprednisolone, infliximab/prednisone, certolizumab/methotrexate, bevacizumab/docetaxel/prednisone/thalidomide/zoledronic acid"	7124	21926	24835
TNFSF14	"CD258, HVEM-L, LIGHT, LTg, Ly113, TNF superfamily member 14, TNLG1D, tumor necrosis factor (ligand) superfamily, member 14, tumour necrosis factor (ligand) superfamily, member 14"	TNF superfamily member 14				Extracellular Space	cytokine	CERC-002	8740	50930	301133
TNFSF15	"TL1, TL1A, TNF superfamily member 15, TNLG1B, tumor necrosis factor (ligand) superfamily, member 15, tumour necrosis factor (ligand) superfamily, member 15, VEGI, VEGI192A"	TNF superfamily member 15				Extracellular Space	cytokine		9966	326623	252878
TREX1	"AGS1, ATRIP, CRV, Dnase 3, DRN3, HERNS, RGD1309596, RVCLS, three prime repair exonuclease 1"	three prime repair exonuclease 1				Nucleus	enzyme		11277	22040	100049583
