Gene_Symbol	log2FC	p-value
LYG2	2.709955	0.007132
HPD	2.70976	0.007132
PPP1R1B	2.700738	0.002977
DRD3	2.700642	0.033047
LRIT3	2.699703	0.046399
FGG	2.684057	0.039243
ADSSL1	2.677368	0.001474
PXDNL	2.666537	0.010747
MLANA	2.665618	0.007132
CASP4	2.664856	0.001871
BNC2	2.663541	0.008775
RND1	2.660741	0.013104
ASZ1	2.649181	0.008775
LOC484879	2.649135	0.02313
TBX1	2.645309	0.001474
LOC611301	2.643404	0.005772
DCDC5	2.638052	0.013104
TMEM151A	2.637613	0.004649
SLC35B3	2.634969	0.046399
KRT31 /// KRT33A /// KRT33B /// KRT34	2.634322	0.010747
LOC479330	2.624526	0.013104
MEF2A	2.615201	0.008775
PLA2G4F	2.608602	0.02313
LOC479934	2.606171	0.019223
IGSF9	2.601956	0.007132
RFFL	2.601713	0.001474
HOXC13	2.598105	0.002977
S100P	2.596076	0.003729
LOC489923	2.593505	0.008775
ECEL1	2.591963	0.046399
CTNND2	2.590656	0.046399
KRT35	2.588235	0.002977
LOC607323	2.580264	0.033047
SNCA	2.575512	0.004649
SF3B3	2.573571	0.010747
KRT5	2.570647	0.003729
SGSM2	2.564505	0.046399
KRT32	2.56003	0.005772
LIX1	2.556076	0.008775
CTNNA2	2.549975	0.02313
EFNA5	2.549538	0.002977
LOC486528	2.548075	0.001871
AKR1C3	2.542984	0.027708
BIRC3	2.536021	0.003729
LOC608072	2.5336	0.007132
IL1F8	2.53064	0.003729
BCL2A1	2.529131	0.002977
CELSR3	2.519815	0.005772
ACBD7	2.515309	0.007132
BAMBI	2.515297	0.002977
LOC488882	2.512945	0.013104
HAMP	2.51118	0.003729
LOC478411	2.511167	0.039243
LOC611894	2.510935	0.001474
LOC487017	2.507165	0.002366
CDA	2.506017	0.004649
GCH1	2.504189	0.001474
CCL19	2.503155	0.001474
GPRC5D	2.502114	0.007132
GRIA4	2.500196	0.010747
ARG1	2.494527	0.015906
ASB5	2.492925	0.013104
KLK2	2.491937	0.005772
ABCC11	2.487989	0.001871
CPA6	2.480784	0.008775
PRKDC	2.47318	0.013104
CDA	2.472292	0.005772
PBLD	2.470925	0.033047
SH3BP1	2.469834	0.02313
PLEK	2.466565	0.004649
MYOC	2.465194	0.001871
CDC42BPA	2.462583	0.003729
GPR143	2.46032	0.001871
PLA2G6	2.457361	0.001871
LOC491391 /// LOC491686 /// LOC607996 /// LOC608202 /// LOC608379 /// LOC609845 /// LOC610282 /// LOC611902	2.456661	0.046399
LAMB1	2.454375	0.015906
CLCA4	2.453785	0.015906
PLCB4	2.452126	0.002366
PROKR2	2.450457	0.039243
ACOX2	2.448381	0.007132
LOC485909	2.447572	0.019223
NPR3	2.436784	0.004649
ARSI	2.435886	0.007132
MMP7	2.431018	0.003729
MAGEA9	2.430578	0.021098
FABP9	2.429716	0.003729
MT4	2.426453	0.005772
ABI3BP	2.422999	0.02313
ADIPOQ	2.422309	0.002977
NLN	2.416966	0.027708
MAB21L2	2.414219	0.010747
KRT82	2.41009	0.005772
SULT1B1	2.406719	0.039243
LOC484715	2.404189	0.033047
WDR78	2.404016	0.008775
LOC475790	2.402455	0.002977
LOC606870	2.398817	0.007132
cOR10A3	2.391042	0.02313
ARMC4	2.390572	0.003729
SERINC5	2.389769	0.02313
VWA2	2.382463	0.027708
KCNE1	2.379318	0.001474
SLC39A12	2.378003	0.021098
PNMT	2.370245	0.015906
LOC487998	2.370217	0.039243
SLC16A14	2.36896	0.007132
KRT31	2.366974	0.003729
SLC11A1	2.366694	0.008775
C5AR1	2.361285	0.004649
SKAP1	2.360243	0.010747
LOC474769	2.35846	0.019223
PER3	2.356026	0.008775
DNAH2	2.353596	0.027708
PLAUR	2.349595	0.002977
LOC480602	2.346652	0.013104
BCL2A1	2.3453	0.001474
ACR	2.343222	0.027708
KRT81	2.340689	0.007132
SLC12A8	2.338839	0.02313
FGG	2.336798	0.039243
KLK13	2.336472	0.007132
SLC24A5	2.335104	0.02313
UIMC1	2.334888	0.033047
TNFAIP6	2.334245	0.013104
CTNNA2	2.333677	0.033047
GIMAP5	2.331974	0.019223
GLYAT	2.319448	0.027708
NEFL	2.315235	0.039243
FGF14	2.312167	0.004649
PLN	2.307984	0.001871
GNB3	2.30521	0.004649
CCDC19	2.304683	0.013104
SRGN	2.302449	0.004649
LOC484191	2.29936	0.019223
ATP6V1B1	2.298083	0.013104
FPGS	2.296955	0.004649
PLAGL2	2.292348	0.005772
NFE2	2.290707	0.015906
TRIM42	2.289006	0.027708
LOC491504	2.282871	0.02313
LOC477770 /// PECR	2.276852	0.001871
TMEM182	2.274061	0.013104
MLXIPL	2.273074	0.046399
GZMA	2.270534	0.027708
HOXB3	2.268447	0.033047
ZBTB4	2.265212	0.001474
ABCD2	2.262955	0.004649
TCHH	2.262483	0.027708
ZBTB34	2.261879	0.033047
TMEM159	2.261739	0.007132
HPX	2.25932	0.02313
ALPL	2.257306	0.015906
MFI2	2.255683	0.027708
LY96	2.255552	0.001871
GALNT8	2.253889	0.013104
LOC478335	2.253244	0.027708
GPR112	2.252824	0.002366
GPR65	2.250272	0.001474
MATN4	2.250229	0.002977
SOBP	2.250113	0.039243
DSG4	2.246568	0.003729
LOC610597	2.244588	0.003729
CCK	2.244546	0.001871
ELA1	2.242147	0.015906
LOC490814	2.239586	0.039243
AGXT2L1	2.237188	0.002977
LOC478212 /// LOC479765	2.236002	0.019223
ARSH	2.235701	0.019223
LOC608302	2.234074	0.033047
LOC480785	2.232703	0.007132
HMGCLL1	2.231753	0.046399
OAS1	2.231008	0.019223
COL29A1	2.230764	0.02313
PSMB5	2.229246	0.013104
HSPB3	2.227482	0.010747
PHEX	2.225909	0.013104
KLK4	2.225802	0.004649
LOC474811	2.225128	0.007132
TNN	2.224048	0.008775
LOC608754	2.222197	0.019223
FCGR1A	2.221708	0.007132
LOC609247	2.220379	0.033047
LOC482225	2.212991	0.039243
MTA3	2.208278	0.039243
DLX3	2.207157	0.002366
CLDN3	2.20673	0.005772
LOC486877	2.205838	0.013104
GNMT	2.203591	0.002366
IQGAP3	2.2034	0.013104
AVIL	2.201859	0.033047
TNFSF15	2.200094	0.019223
RGS14	2.199296	0.019223
TYR	2.19667	0.046399
GNG2	2.196558	0.015906
ARSE	2.195595	0.019223
LOC606998	2.184574	0.013104
HMOX1	2.184016	0.015906
LOC612250	2.183665	0.039243
ZNF643	2.182421	0.008775
OAS1	2.181939	0.013104
LOC484645	2.181006	0.039243
CCL17	2.177283	0.02313
VDR	2.176946	0.004649
LOC475044 /// LOC481926 /// LOC484708 /// LOC487279 /// LOC488418 /// LOC490392 /// LOC608729 /// LOC609171	2.176701	0.033047
LOC488734	2.169383	0.013104
NOTUM	2.166685	0.02313
LY9	2.163057	0.019223
NT5C1B	2.159962	0.00642
NLRC5	2.159722	0.046399
FOSL1	2.158711	0.033047
TNIP3	2.155919	0.013104
OAS1	2.154552	0.008775
LOC610091	2.15427	0.027708
DDX60	2.153515	0.013104
LGALS8	2.148994	0.005772
RENBP	2.147616	0.001871
LOC611446	2.146555	0.027708
STEAP4	2.14588	0.002977
PTHR1	2.14383	0.002366
LOC474990	2.139638	0.027708
LOC482428	2.137255	0.004649
HRH1	2.136505	0.010747
SCUBE3	2.135752	0.002977
SCN3A	2.135503	0.042631
ZNF197	2.130454	0.005772
LOC480336	2.129956	0.001474
MMP9	2.117112	0.007132
LOC475790	2.115664	0.019223
CRIP3	2.114728	0.015906
KRT27	2.113594	0.002977
LYG1	2.113343	0.010747
LOC478692	2.111221	0.027708
SRGN	2.11106	0.001474
LOC612375	2.110877	0.039243
LOC490390	2.110688	0.013104
SCUBE3	2.106052	0.001871
ABCC11	2.104423	0.001474
CALU	2.103126	0.030276
ABCC11	2.101043	0.002366
DAPL1	2.099242	0.002366
SAMSN1	2.09885	0.004649
SCN2A	2.098135	0.004166
ATP6V0D2	2.097692	0.002366
LTBR	2.096098	0.027708
FEZ1	2.093177	0.004649
FBXL13	2.091248	0.010747
PLN	2.085002	0.001871
NXPH1	2.084352	0.003729
YPEL4	2.082593	0.019223
SLC16A4	2.080956	0.027708
NAT6	2.078739	0.019223
MNDA	2.078166	0.007132
LOC486528	2.077534	0.001871
LOC403530	2.077075	0.046399
PALM2	2.076538	0.033047
ZNF470	2.075529	0.003729
ADIPOQ	2.073888	0.004649
LOC475367	2.071947	0.002977
TMEM146	2.066711	0.02313
PMM2	2.066496	0.015906
AQP2	2.066473	0.008775
SELL	2.066301	0.02313
ELAVL3	2.06534	0.039243
KIF3C	2.063956	0.008775
LOC612108	2.061737	0.013104
ODZ3	2.061251	0.027708
TMC3	2.060661	0.001871
PHYHIP	2.058093	0.001474
LHX2	2.05712	0.003729
LOC482273 /// LOC611583	2.055775	0.004649
GSG1L	2.055458	0.007132
SOX5	2.054607	0.002977
AFF3	2.052737	0.015906
COL13A1	2.052193	0.019223
ITGB6	2.051544	0.02313
EXDL1	2.051323	0.002977
LOC492268	2.04999	0.046399
C1QTNF4	2.048527	0.008775
SLC27A1	2.046737	0.010747
KLK8	2.044078	0.015906
LOC478488	2.04293	0.019223
LOC476920	2.042142	0.046399
STEAP4	2.041825	0.001871
MXRA8	2.039554	0.010747
SLC25A43	2.038929	0.02313
ASS1	2.037957	0.002366
ZNF30	2.037741	0.001871
MYH2	2.037536	0.046399
GAA	2.035219	0.001871
SLC2A1	2.034486	0.001474
IL18BP	2.034231	0.002366
MARK1	2.033762	0.033047
ERMN	2.031847	0.005772
NANOS2	2.031635	0.02313
SGK2	2.03131	0.02313
GBP1	2.031008	0.013104
TAL1	2.030041	0.02313
LOC611915	2.029419	0.019223
MLZE	2.028342	0.004649
LOC612383	2.028167	0.019223
LOC491270	2.028141	0.046399
LOC475044 /// LOC476099 /// LOC477645 /// LOC477765 /// LOC481926 /// LOC482001 /// LOC484696 /// LOC484708 /// LOC486707 /// LOC487279 /// LOC487696 /// LOC488116 /// LOC488418 /// LOC490392 /// LOC607098 /// LOC607099 /// LOC607332 /// LOC607525 /// LOC607650 /// LOC608035 /// LOC608117 /// LOC608729 /// LOC608917 /// LOC609099 /// LOC609171 /// LOC612480 /// LOC612482	2.026586	0.039243
PIK3R6	2.025072	0.008775
CRISPLD1	2.024985	0.005772
LOC485714	2.024391	0.046399
GRIK2	2.024156	0.02313
CCK	2.022299	0.008775
MLPH	2.021411	0.007132
CRISP3	2.019501	0.027708
IL13RA2	2.018666	0.002977
SERPINA3	2.017752	0.008775
NEXN	2.017692	0.033047
LOC612044	2.017289	0.027708
FRK	2.016835	0.033047
FOXF1	2.016809	0.033047
ZBTB22	2.014731	0.004649
CCL28	2.012708	0.019223
CCDC121	2.012079	0.004649
LOC491518	2.012007	0.033047
LOC609360	2.011849	0.027708
GIMAP4	2.011337	0.039243
HSD17B13	2.011162	0.02313
MFAP4	2.0103	0.004649
CNOT4	2.009768	0.025285
LOC483484	2.00869	0.027708
GLRB	2.007565	0.003729
CCDC88B	2.005946	0.039243
APLP1	2.00559	0.013104
DCT	2.004561	0.008775
LOC478705	2.003957	0.039243
ABCC12	2.002378	0.015906
LIN7B	2.002071	0.015906
